calcE, errfinal, es, np, refE
-4.297777, 1.477777, -2.697760, -1.600017, -2.820000 
-3.695393, -0.944607, -1.114366, -2.581028, -4.640000 
-6.329254, 1.199254, -2.513389, -3.815865, -5.130000 
-5.347617, 1.287617, -2.566214, -2.781403, -4.060000 
-3.915296, 0.285296, -1.170568, -2.744728, -3.630000 
-4.217257, 0.437257, -3.229434, -0.987823, -3.780000 
-5.517177, -0.472823, -3.148782, -2.368395, -5.990000 
-2.521356, 0.661356, -0.014567, -2.506789, -1.860000 
-6.582667, 1.622667, -2.629946, -3.952720, -4.960000 
-5.606171, 0.276171, -2.931401, -2.674770, -5.330000 
-4.088905, 0.348905, -0.022559, -4.066346, -3.740000 
-3.557644, 0.547644, -0.019835, -3.537810, -3.010000 
-6.618108, -0.321892, -3.453633, -3.164474, -6.940000 
-4.606864, 0.426864, -0.025617, -4.581246, -4.180000 
-3.040191, 0.590191, -0.017836, -3.022355, -2.450000 
-4.063925, 0.543925, -1.715254, -2.348670, -3.520000 
-6.002851, 1.452851, -2.566204, -3.436647, -4.550000 
-5.009313, 0.239313, -2.850204, -2.159109, -4.770000 
-5.411771, -1.558229, -1.918438, -3.493333, -6.970000 
-4.948827, -1.681173, -1.992767, -2.956060, -6.630000 
-3.482161, -0.447839, -1.442751, -2.039410, -3.930000 
-3.060677, -0.449323, -1.593361, -1.467316, -3.510000 
-5.874981, -0.265019, -3.680481, -2.194500, -6.140000 
-6.936578, -1.553422, -3.904345, -3.032233, -8.490000 
-4.364869, -0.705131, -1.069406, -3.295463, -5.070000 
-7.767914, -0.362086, -3.072708, -4.695205, -8.130000 
-6.892146, 0.512146, -2.295012, -4.597134, -6.380000 
-7.214460, -1.625540, -4.140255, -3.074205, -8.840000 
-4.508153, -0.681847, -1.059598, -3.448555, -5.190000 
-3.255181, 0.465181, -0.539010, -2.716171, -2.790000 
-5.991185, -0.408815, -2.854697, -3.136488, -6.400000 
-5.348139, 0.998139, -2.305583, -3.042556, -4.350000 
-5.147094, 0.787094, -2.097276, -3.049818, -4.360000 
-8.287645, 0.067645, -5.110675, -3.176969, -8.220000 
-6.780704, -1.909296, -4.224412, -2.556292, -8.690000 
-6.297341, 0.497341, -3.888464, -2.408876, -5.800000 
-4.623295, -1.646705, -1.959307, -2.663988, -6.270000 
-5.039060, 0.019060, -2.933831, -2.105229, -5.020000 
-2.002148, 0.742148, -0.011861, -1.990287, -1.260000 
-7.219850, 0.359850, -5.091470, -2.128379, -6.860000 
-4.492974, 1.342974, -2.492079, -2.000895, -3.150000 
-2.055360, 0.915360, -0.270427, -1.784933, -1.140000 
-4.443269, 0.313269, -2.467014, -1.976255, -4.130000 
-2.216993, 0.626993, -0.600453, -1.616540, -1.590000 
-4.512549, -0.827451, -2.264788, -2.247761, -5.340000 
-5.006319, -0.273681, -3.101196, -1.905123, -5.280000 
-6.004000, -2.426000, -2.625719, -3.378280, -8.430000 
-2.648423, -1.591577, -0.040376, -2.608047, -4.240000 
-1.778619, 3.278619, -0.317867, -1.460752, 1.500000 
-3.661581, -0.268419, -1.429391, -2.232190, -3.930000 
-3.795869, -0.414131, -1.166607, -2.629263, -4.210000 
-3.164382, -0.725618, -1.083682, -2.080700, -3.890000 
-5.014113, -0.975887, -2.213048, -2.801065, -5.990000 
-4.058673, -0.491327, -1.128395, -2.930278, -4.550000 
-2.720959, -2.899041, -0.517548, -2.203411, -5.620000 
-2.825545, -0.924455, -0.551320, -2.274225, -3.750000 
-2.811693, -0.998307, -0.894567, -1.917127, -3.810000 
-10.355828, 1.475828, -5.228555, -5.127272, -8.880000 
-9.009419, 1.199419, -5.673951, -3.335468, -7.810000 
-3.524666, -0.075334, -1.411905, -2.112761, -3.600000 
