solute,es_mobley,cav_mobley,disp_mobley,np_mobley,expt,es_SLIC,np_SLIC
1_nitropropane,-2.44,13.67,-12.61,1.06,-3.34,-2.98,2.31
11_diacetoxyethane,-9.52,19.64,-18.02,1.62,-4.97,-11.27,2.54
11_dichloroethane,-1.64,11.81,-10,1.81,-0.84,-2.12,2.24
11_dichloroethene,-0.85,11.71,-9.62,2.09,0.25,-1.16,2.22
11_diethoxyethane,-4.57,19.23,-16.84,2.39,-3.28,-5.32,2.53
11_difluoroethane,-2.41,9.95,-7.35,2.6,-0.11,-2.91,2.19
111_trichloroethane,-1.13,14.1,-12.22,1.88,-0.19,-1.37,2.29
111_trifluoro_222_trimethoxyethane,-4.57,18.18,-15.87,2.31,-0.8,-5.64,2.46
111_trifluoropropan_2_ol,-6.05,13.7,-11.21,2.49,-4.16,-9.70,2.29
111_trimethoxyethane,-5.55,16.36,-14.7,1.66,-4.42,-6.40,2.42
1112_tetrachloroethane,-1.43,15.17,-13.63,1.54,-1.28,-1.87,2.33
112_trichloro_122_trifluoroethane,-0.32,14.53,-12.68,1.85,1.77,-0.57,2.33
112_trichloroethane,-2.01,13.47,-11.96,1.51,-1.99,-3.49,2.28
1122_tetrachloroethane,-1.88,15.2,-13.73,1.47,-2.47,-2.89,2.33
12_diacetoxyethane,-9.93,19.29,-17.68,1.61,-6.34,-12.89,2.55
12_dibromoethane,-1.6,14.05,-12.26,1.79,-2.33,-1.91,2.27
12_dichlorobenzene,-1.96,16.08,-14.76,1.32,-1.36,-2.46,2.38
12_dichloroethane,-2.15,11.94,-10.31,1.63,-1.79,-3.15,2.24
12_dichloropropane,-2.13,13.92,-11.99,1.93,-1.27,-2.97,2.30
12_diethoxyethane,-5.47,19.02,-16.63,2.39,-3.54,-6.11,2.55
12_dimethoxyethane,-5.29,14.73,-12.8,1.93,-4.84,-7.06,2.37
12_ethanediol,-8.71,10.36,-9.27,1.09,-9.3,-14.90,2.18
123_trichlorobenzene,-1.67,17.6,-16.31,1.29,-1.24,-2.07,2.42
123_trimethylbenzene,-2.79,17.78,-15.64,2.14,-1.21,-2.59,2.47
1234_tetrachlorobenzene,-1.25,18.76,-17.83,0.93,-1.34,-1.54,2.46
1235_tetrachlorobenzene,-0.92,19.06,-18.16,0.9,-1.62,-1.25,2.47
124_trichlorobenzene,-1.35,17.68,-16.51,1.17,-1.12,-1.88,2.43
124_trimethylbenzene,-2.75,18.25,-15.86,2.39,-0.86,-2.56,2.49
1245_tetrachlorobenzene,-0.97,18.97,-17.75,1.22,-1.34,-1.30,2.47
13_dichlorobenzene,-1.6,16.27,-14.66,1.61,-0.98,-2.23,2.38
13_dichloropropane,-2.18,13.78,-11.98,1.8,-1.89,-2.77,2.30
13_dimethylnaphthalene,-4.5,21.29,-19.58,1.71,-2.47,-4.35,2.57
135_trichlorobenzene,-0.96,18.12,-16.71,1.41,-0.78,-1.55,2.43
135_trimethylbenzene,-2.73,19.39,-16.62,2.77,-0.9,-2.52,2.51
14_dichlorobenzene,-1.63,16.13,-14.6,1.53,-1.01,-2.29,2.38
14_dichlorobutane,-2.38,16.33,-14.22,2.11,-2.32,-3.04,2.38
14_dimethyl_piperazine,-8.2,17.47,-16.67,0.8,-7.58,-6.31,2.43
14_dimethylnaphthalene,-4.5,20.31,-19.1,1.21,-2.82,-4.38,2.56
14_dioxane,-4.71,12.59,-12.23,0.36,-5.06,-5.86,2.27
2_bromo_2_methylpropane,-1.25,14.8,-12.66,2.14,0.84,-1.63,2.33
2_bromopropane,-1.16,13.21,-11.08,2.13,-0.48,-1.56,2.28
2_butoxyethanol,-5.94,18.58,-16.71,1.87,-6.25,-7.20,2.51
2_chloro_111_trimethoxyethane,-5.4,18.97,-16.87,2.1,-4.59,-7.88,2.45
2_chloro_2_methylpropane,-1.44,13.74,-11.48,2.26,1.09,-1.67,2.32
2_chloroaniline,-6.04,15.78,-14.7,1.08,-4.91,-8.13,2.36
2_chlorobutane,-1.35,14.33,-11.77,2.56,0,-1.56,2.33
2_chlorophenol,-4.51,15.74,-14.46,1.28,-4.55,-6.34,2.35
2_chloropropane,-1.4,12.28,-10.06,2.22,-0.25,-1.66,2.27
2_chloropyridine,-4.85,14.74,-13.25,1.49,-4.39,-5.60,2.32
2_chlorotoluene,-2.18,16.2,-14.53,1.67,-1.14,-2.56,2.40
2_ethoxyethanol,-6.41,14.57,-12.93,1.64,-6.69,-12.18,2.36
2_ethylpyrazine,-6.94,16.48,-15.22,1.26,-5.45,-7.66,2.39
2_ethylpyridine,-4.96,16.8,-15.05,1.75,-4.33,-5.06,2.42
2_ethyltoluene,-2.85,18.48,-16.29,2.19,-1.04,-2.65,2.47
2_fluorophenol,-4.89,14.63,-12.98,1.65,-5.29,-6.56,2.33
2_iodophenol,-3.93,16.81,-15.79,1.02,-6.2,-5.77,2.38
2_iodopropane,-1.97,14.25,-11.99,2.26,-0.46,-2.59,2.30
2_isobutylpyrazine,-6.81,19.93,-18.22,1.71,-5.04,-7.15,2.49
2_methoxy_111_trimethoxyethane,-7.61,19.69,-18.05,1.64,-5.73,-10.47,2.53
2_methoxyaniline,-7.69,17.05,-15.89,1.16,-6.12,-9.86,2.41
2_methoxyethanamine,-7.04,12.62,-11.2,1.42,-6.55,-9.53,2.28
2_methoxyphenol,-6,16.77,-15.51,1.26,-5.57,-8.30,2.41
2_methyl_but_2_ene,-0.56,14.61,-11.67,2.94,1.31,-0.71,2.34
2_methylbut_2_ene,-0.55,14.08,-11.25,2.83,1.31,-0.71,2.34
2_methylbuta_13_diene,-1.12,13.42,-10.49,2.93,0.68,-1.42,2.30
2_methylbutan_1_ol,-4.88,15.24,-13.14,2.1,-4.42,-5.95,2.36
2_methylbutan_2_ol,-5.17,14.79,-12.58,2.21,-4.43,-5.24,2.36
2_methylbutane,0.01,14.79,-12.28,2.51,2.38,-0.04,2.34
2_methylhexane,0.01,18.55,-15.56,2.99,2.93,-0.05,2.48
2_methylpent_1_ene,-0.4,16.21,-13.06,3.15,1.47,-0.63,2.40
2_methylpentan_2_ol,-5.13,17.21,-14.87,2.34,-3.92,-5.78,2.43
2_methylpentan_3_ol,-4.75,16.92,-14.36,2.56,-3.88,-4.56,2.43
2_methylpentane,0.01,16.91,-14.14,2.77,2.51,-0.05,2.42
2_methylpropan_1_ol,-5.02,13.8,-11.74,2.06,-4.5,-6.75,2.30
2_methylpropan_2_ol,-5.31,13.33,-11.11,2.22,-4.47,-5.96,2.30
2_methylpropane,0.01,12.85,-10.12,2.73,2.32,-0.03,2.29
2_methylpropene,-0.45,12.56,-9.77,2.79,1.16,-0.68,2.27
2_methylpyrazine,-6.99,13.95,-13.06,0.89,-5.51,-7.93,2.32
2_methylpyridine,-4.95,14.35,-12.81,1.54,-4.63,-5.30,2.34
2_methyltetrahydrofuran,-3.39,14.37,-12.93,1.44,-3.3,-3.26,2.33
2_methylthiophene,-1.9,13.71,-12.03,1.68,-1.38,-2.36,2.32
2_naphthol,-8.7,18.18,-17.36,0.82,-8.11,-10.92,2.46
2_naphthylamine,-8.83,18.77,-17.81,0.96,-7.47,-10.42,2.47
2_nitroaniline,-7.84,16.29,-16.41,-0.12,-7.37,-8.43,2.38
2_nitrophenol,-5.4,16.14,-16.08,0.06,-4.58,-10.71,2.38
2_nitropropane,-2.54,13.64,-12.71,0.93,-3.13,-3.02,2.30
2_nitrotoluene,-3.79,17.75,-17.1,0.65,-3.58,-3.88,2.42
2_phenylethanol,-7.05,17.41,-15.69,1.72,-6.79,-9.12,2.45
2_propoxyethanol,-6.14,16.66,-14.73,1.93,-6.4,-12.43,2.44
22_dimethylbutane,0.01,16.05,-13.53,2.52,2.51,-0.04,2.39
22_dimethylpentane,0.01,17.97,-15.08,2.89,2.88,-0.04,2.46
22_dimethylpropane,0.01,14.88,-12.29,2.59,2.51,-0.03,2.34
222_trifluoroethanol,-6.05,11.46,-9.36,2.1,-4.31,-9.26,2.22
224_trimethylpentane,0.02,19.22,-16.31,2.91,2.89,-0.04,2.49
225_trimethylhexane,0,21.16,-18.3,2.86,2.93,-0.05,2.57
23_dimethylbuta_13_diene,-1.11,14.97,-12.17,2.8,0.4,-1.43,2.36
23_dimethylbutane,0.01,16.31,-13.63,2.68,2.34,-0.04,2.39
23_dimethylnaphthalene,-4.43,20.99,-19.15,1.84,-2.78,-4.36,2.57
23_dimethylpentane,0,17.9,-15.24,2.66,2.52,-0.04,2.45
23_dimethylphenol,-6.49,17.33,-15.51,1.82,-6.16,-8.02,2.43
23_dimethylpyridine,-4.79,16.06,-14.54,1.52,-4.82,-5.09,2.40
234_trimethylpentane,0.01,19.34,-16.49,2.85,2.56,-0.05,2.50
24_dimethylpentan_3_one,-5.13,18.27,-15.61,2.66,-2.74,-5.26,2.48
24_dimethylpentane,0,18.31,-15.42,2.89,2.83,-0.04,2.44
24_dimethylphenol,-6.48,17.57,-15.64,1.93,-6.01,-8.00,2.45
24_dimethylpyridine,-4.94,16.94,-15.18,1.76,-4.86,-5.15,2.42
25_dimethylphenol,-5.97,17.22,-15.64,1.58,-5.91,-6.27,2.45
25_dimethylpyridine,-4.76,16.68,-14.75,1.93,-4.72,-5.04,2.42
25_dimethyltetrahydrofuran,-3.52,15.4,-13.77,1.63,-2.92,-3.03,2.41
26_dimethylaniline,-6.51,17.43,-15.79,1.64,-5.21,-6.92,2.45
26_dimethylnaphthalene,-4.42,21.49,-19.72,1.77,-2.63,-4.36,2.59
26_dimethylphenol,-5.78,17.36,-15.67,1.69,-5.26,-6.33,2.44
26_dimethylpyridine,-5.15,16.41,-14.62,1.79,-4.59,-4.88,2.42
3_acetylpyridine,-8.04,16.7,-15.76,0.94,-8.26,-9.81,2.40
3_chloroaniline,-6.41,15.38,-14.34,1.04,-5.82,-8.18,2.36
3_chlorophenol,-6.38,15.52,-14.42,1.1,-6.62,-8.08,2.36
3_chloroprop_1_ene,-1.48,11.87,-9.51,2.36,-0.57,-2.14,2.24
3_chloropyridine,-3.78,13.97,-12.69,1.28,-4.01,-4.75,2.31
3_cyanophenol,-8.16,15.82,-14.7,1.12,-9.65,-10.87,2.38
3_cyanopyridine,-5.79,15.27,-14.14,1.13,-6.75,-7.33,2.34
3_ethylphenol,-6.91,17.92,-16.03,1.89,-6.25,-8.33,2.45
3_ethylpyridine,-4.59,16.16,-14.53,1.63,-4.59,-5.20,2.41
3_formylpyridine,-8.22,14.48,-13.9,0.58,-7.1,-10.20,2.33
3_hydroxybenzaldehyde,-10.18,16.05,-15.11,0.94,-9.5,-12.87,2.37
3_methoxyaniline,-8.44,16.7,-15.71,0.99,-7.29,-10.60,2.41
3_methoxyphenol,-8.1,16.54,-15.47,1.07,-7.66,-10.57,2.40
3_methyl_1h_indole,-7.53,17.93,-16.95,0.98,-5.88,-8.51,2.45
3_methyl_but_1_ene,-0.33,14.16,-11.03,3.13,1.83,-0.56,2.34
3_methylbut_1_ene,-0.34,14.55,-11.54,3.01,1.82,-0.56,2.34
3_methylbutan_1_ol,-5.15,15.71,-13.48,2.23,-4.42,-7.89,2.36
3_methylbutan_2_one,-5.34,15.08,-12.67,2.41,-3.24,-5.72,2.36
3_methylbutanoic_acid,-6.99,15.53,-14.05,1.48,-6.09,-11.23,2.37
3_methylheptane,0.01,20.48,-17.2,3.28,2.97,-0.06,2.56
3_methylhexane,0,18.47,-15.71,2.76,2.71,-0.05,2.47
3_methylpentane,0,16.38,-13.66,2.72,2.51,-0.04,2.41
3_methylpyridine,-4.56,14.22,-12.85,1.37,-4.77,-5.27,2.34
3_nitroaniline,-8,16.99,-17.23,-0.24,-8.84,-10.23,2.39
3_nitrophenol,-7.45,16.88,-17.09,-0.21,-9.62,-9.71,2.38
3_nitrotoluene,-3.51,17.45,-17.1,0.35,-3.45,-4.08,2.44
3_phenylpropanol,-7.38,19.16,-17.28,1.88,-6.92,-8.83,2.52
33_dimethylbutan_2_one,-5.18,16.43,-14.16,2.27,-3.11,-5.51,2.40
33_dimethylpentane,0.01,17.64,-15.12,2.52,2.56,-0.04,2.44
333_trimethoxypropionitrile,-6.88,19.2,-17.25,1.95,-6.4,-9.61,2.49
34_dimethylphenol,-6.86,17.13,-15.6,1.53,-6.5,-8.23,2.43
34_dimethylpyridine,-4.59,15.99,-14.58,1.41,-5.22,-5.18,2.39
35_dimethylphenol,-7.01,17.87,-15.98,1.89,-6.27,-8.50,2.45
35_dimethylpyridine,-4.47,15.92,-14.39,1.53,-4.84,-5.12,2.41
4_acetylpyridine,-8.38,16.82,-16.07,0.75,-7.62,-9.92,2.40
4_bromophenol,-6.59,16.09,-14.97,1.12,-7.13,-8.55,2.37
4_bromotoluene,-2.2,17.47,-15.23,2.24,-1.39,-2.64,2.42
4_chloro_3_methylphenol,-6.38,17.28,-15.8,1.48,-6.79,-8.02,2.42
4_chloroaniline,-6.47,15.79,-14.6,1.19,-5.9,-8.67,2.36
4_chlorophenol,-6.53,15.41,-14.24,1.17,-7.03,-8.49,2.36
4_cyanophenol,-8.72,15.92,-14.81,1.11,-10.17,-11.12,2.38
4_cyanopyridine,-5.99,14.81,-13.79,1.02,-6.02,-7.41,2.34
4_ethylphenol,-7.07,18.13,-16.14,1.99,-6.13,-8.59,2.45
4_ethylpyridine,-4.72,16.65,-14.8,1.85,-4.73,-5.36,2.41
4_ethyltoluene,-2.78,19.46,-16.73,2.73,-0.95,-2.64,2.50
4_fluorophenol,-6.51,14.41,-12.89,1.52,-6.19,-8.52,2.33
4_formylpyridine,-8.13,14.89,-14.07,0.82,-7,-9.98,2.33
4_hydroxybenzaldehyde,-10.85,15.86,-15.01,0.85,-8.83,-13.94,2.37
4_isopropyltoluene,-2.53,20.1,-17.37,2.73,-0.68,-2.39,2.56
4_methoxyacetophenone,-7.89,20.28,-18.68,1.6,-4.4,-9.79,2.52
4_methoxyaniline,-8.09,16.9,-15.73,1.17,-7.48,-10.63,2.41
4_methyl_1h_imidazole,-8.85,12.85,-11.99,0.86,-10.27,-10.09,2.28
4_methylacetophenone,-6.7,18.79,-16.91,1.88,-4.7,-7.69,2.50
4_methylbenzaldehyde,-6.43,16.86,-15.33,1.53,-4.27,-7.78,2.43
4_methylpentan_2_ol,-5.1,17.38,-15.03,2.35,-3.73,-4.72,2.42
4_methylpentan_2_one,-5.28,16.78,-14.46,2.32,-3.05,-5.55,2.42
4_methylpyridine,-4.73,14.38,-13.06,1.32,-4.93,-5.44,2.34
4_n_propylphenol,-6.96,18.93,-17.47,1.46,-5.9,-8.56,2.52
4_nitroaniline,-9.03,16.44,-16.64,-0.2,-10.27,-11.31,2.39
4_nitrophenol,-8.04,16.5,-16.68,-0.18,-10.64,-10.15,2.38
4_tert_butylphenol,-7.21,20.59,-18.92,1.67,-5.91,-9.39,2.54
acenaphthene,-4.89,20.77,-19.39,1.38,-3.15,-4.80,2.52
acetaldehyde,-5.18,8.91,-7.12,1.79,-3.5,-6.29,2.15
acetic_acid,-7.07,9.97,-8.85,1.12,-6.69,-11.98,2.17
acetonitrile,-3.77,9.06,-6.96,2.1,-3.88,-4.50,2.15
acetophenone,-6.67,17,-15.4,1.6,-4.58,-7.81,2.42
alpha_methylstyrene,-3.53,17.7,-15.43,2.27,-1.24,-3.48,2.46
aniline,-7,13.48,-12.4,1.08,-5.49,-8.90,2.31
anisole,-3.98,15.64,-13.96,1.68,-2.45,-4.88,2.38
anthracene,-5.97,21.59,-21.01,0.58,-3.95,-6.15,2.59
azetidine,-5.09,10.2,-8.52,1.68,-5.56,-5.84,2.21
benzaldehyde,-6.36,14.82,-13.45,1.37,-4.02,-7.85,2.35
benzamide,-10.97,16.07,-15.29,0.78,-11,-13.85,2.38
benzene,-2.7,13.3,-11.3,2,-0.86,-2.97,2.29
benzonitrile,-4.13,14.85,-13.46,1.39,-4.21,-5.19,2.36
benzotrifluoride,-3.02,16.36,-13.89,2.47,-0.25,-3.80,2.41
benzyl_alcohol,-6.94,15.56,-14.03,1.53,-6.62,-8.39,2.38
benzyl_bromide,-3.13,17.59,-15.6,1.99,-2.38,-3.86,2.42
benzyl_chloride,-3.37,16.62,-14.81,1.81,-1.93,-4.01,2.40
biphenyl,-4.97,20.97,-19.39,1.58,-2.66,-4.71,2.57
bromobenzene,-2.2,15.59,-13.76,1.83,-1.46,-2.78,2.35
bromoethane,-1.01,11.23,-9.29,1.94,-0.74,-1.43,2.21
bromomethane,-0.89,9.46,-7.48,1.98,-0.82,-1.38,2.12
bromotrifluoromethane,-0.38,11.3,-8.89,2.41,1.79,-0.69,2.20
but_1_ene,-0.37,12.22,-9.37,2.85,1.38,-0.61,2.27
but_1_yne,-0.86,12.18,-9.39,2.79,-0.16,-1.26,2.26
buta_13_diene,-0.96,11.67,-8.78,2.89,0.61,-1.41,2.24
butan_1_ol,-5.12,13.82,-11.84,1.98,-4.72,-6.59,2.32
butan_2_ol,-5.2,13.62,-11.54,2.08,-4.62,-5.70,2.31
butanenitrile,-3.57,13.12,-10.96,2.16,-3.64,-4.08,2.30
butanoic_acid,-6.92,13.73,-12.27,1.46,-6.35,-11.46,2.32
butanone,-5.05,13.31,-11.23,2.08,-3.71,-6.09,2.30
butyraldehyde,-5.07,13.18,-11.12,2.06,-3.18,-6.09,2.30
chlorobenzene,-2.13,14.31,-12.78,1.53,-1.12,-2.69,2.34
chlorodifluoromethane,-2.32,9.78,-7.5,2.28,-0.5,-3.49,2.15
chloroethane,-1.26,10.36,-8.32,2.04,-0.63,-1.62,2.20
chloroethylene,-1.06,9.57,-7.29,2.28,-0.59,-1.52,2.16
chlorofluoromethane,-2.25,8.94,-6.91,2.03,-0.77,-3.07,2.13
chloromethane,-1.14,8.15,-6.2,1.95,-0.55,-1.59,2.11
cis_12_dimethylcyclohexane,0.02,17.94,-15.91,2.03,1.58,-0.05,2.45
cyanobenzene,-4.14,15.1,-13.34,1.76,-4.1,-5.19,2.36
cyclohepta_135_triene,-1.97,14.7,-12.58,2.12,-0.99,-2.74,2.35
cycloheptanol,-5.14,16.69,-15.7,0.99,-5.48,-6.34,2.42
cyclohexane,0.01,14.73,-13.07,1.66,1.23,-0.04,2.36
cyclohexanol,-5.28,15.12,-14.1,1.02,-5.46,-6.85,2.37
cyclohexanone,-5.14,15.38,-14.08,1.3,-4.91,-5.86,2.36
cyclohexene,-0.53,14.4,-12.31,2.09,0.37,-0.73,2.34
cyclohexylamine,-5.08,15.58,-14.44,1.14,-4.59,-4.96,2.37
cyclopentane,0.01,12.86,-11.34,1.52,1.2,-0.06,2.30
cyclopentanol,-5.27,14.18,-13.06,1.12,-5.49,-6.71,2.32
cyclopentanone,-4.85,13.61,-12.47,1.14,-4.7,-5.69,2.31
cyclopentene,-0.58,12.81,-10.85,1.96,0.56,-0.85,2.28
cyclopropane,-0.03,9.85,-7.18,2.67,0.75,-0.20,2.19
decan_1_ol,-5.16,25.7,-23.03,2.67,-3.64,-7.05,2.76
decan_2_one,-5.26,25.29,-22.01,3.28,-2.34,-5.66,2.74
di_isopropyl_sulfide,-2.56,18.52,-15.86,2.66,-1.21,-2.65,2.47
di_n_butyl_ether,-2.65,22.53,-19.29,3.24,-0.83,-2.50,2.65
di_n_propyl_ether,-2.67,18.34,-15.46,2.88,-1.16,-2.52,2.50
di_n_propyl_sulfide,-2.15,19.04,-16.4,2.64,-1.28,-2.32,2.53
di_n_propylamine,-4.76,18.27,-15.77,2.5,-3.65,-4.32,2.50
dibromomethane,-1.1,12.36,-10.39,1.97,-1.96,-1.62,2.19
dichloromethane,-1.6,10.3,-8.47,1.83,-1.31,-2.18,2.16
diethoxymethoxybenzene,-7.19,25.95,-23.2,2.75,-5.23,-6.99,2.76
diethyl_disulfide,-2.51,16.45,-14.01,2.44,-1.64,-2.84,2.45
diethyl_ether,-3.02,13.88,-11.56,2.32,-1.59,-2.82,2.35
diethyl_malonate,-8.27,21.39,-19.57,1.82,-6,-11.96,2.63
diethyl_succinate,-10.32,23.07,-21.22,1.85,-5.71,-11.05,2.71
diethyl_sulfide,-2.18,15.05,-12.66,2.39,-1.46,-2.43,2.38
diethylamine,-4.93,14.48,-12.27,2.21,-4.07,-4.49,2.35
diiodomethane,-2.3,13.46,-11.9,1.56,-2.49,-3.51,2.23
diisopropyl_ether,-3.01,17.63,-14.73,2.9,-0.53,-2.19,2.45
diisopropylamine,-4.6,17.82,-15.19,2.63,-3.22,-3.88,2.45
dimethoxymethane,-4.33,12.83,-11.19,1.64,-2.93,-4.60,2.26
dimethyl_ether,-2.7,9.57,-7.72,1.85,-1.91,-3.39,2.17
dimethyl_sulfate,-8.13,14.6,-14.32,0.28,-5.1,-11.32,2.35
dimethyl_sulfide,-1.7,10.66,-8.7,1.96,-1.61,-2.20,2.21
dimethyl_sulfone,-11.21,12.67,-11.82,0.85,-10.08,-13.38,2.26
dimethyl_sulfoxide,-9.68,11.53,-10.17,1.36,-8.71,-10.41,2.23
dimethylamine,-4.72,9.72,-8.11,1.61,-4.29,-6.03,2.17
E_12_dichloroethene,-0.87,11.73,-9.66,2.07,-0.78,-1.45,2.22
E_but_2_enal,-5.82,12.88,-10.72,2.16,-4.22,-7.08,2.28
E_hept_2_ene,-0.43,18.35,-15.09,3.26,1.68,-0.63,2.51
E_hex_2_enal,-5.48,16.67,-14.41,2.26,-3.68,-6.66,2.43
E_oct_2_enal,-5.37,21.14,-18.24,2.9,-3.43,-6.54,2.58
ethanamide,-9.94,10.44,-9.12,1.32,-9.71,-12.86,2.18
ethane,0,9.19,-6.61,2.58,1.83,-0.02,2.15
ethanethiol,-2.49,10.61,-8.52,2.09,-1.14,-3.64,2.20
ethanol,-5.2,9.66,-7.91,1.75,-5,-7.27,2.17
ethene,-0.3,7.92,-5.26,2.66,1.28,-0.63,2.11
ethyl_acetate,-5.14,14.49,-12.58,1.91,-2.94,-6.19,2.36
ethyl_benzoate,-6.33,20.29,-18.64,1.65,-3.64,-7.52,2.55
ethyl_butanoate,-5.39,18.14,-15.79,2.35,-2.49,-5.96,2.50
ethyl_formate,-4.52,12,-10.47,1.53,-2.56,-6.20,2.26
ethyl_hexanoate,-5.43,21.8,-19.17,2.63,-2.23,-5.98,2.65
ethyl_pentanoate,-5.47,20.51,-18.13,2.38,-2.49,-6.14,2.58
ethyl_phenyl_ether,-4.12,17.61,-15.5,2.11,-2.22,-4.51,2.47
ethyl_propanoate,-5.51,16.75,-14.63,2.12,-2.68,-6.22,2.43
ethylamine,-5,10.06,-8.2,1.86,-4.5,-6.58,2.18
ethylbenzene,-2.76,16.96,-14.79,2.17,-0.79,-2.78,2.43
fluorene,-5.31,20.8,-19.78,1.02,-3.35,-5.53,2.57
fluorobenzene,-2.1,13.58,-11.55,2.03,-0.8,-2.70,2.31
fluoromethane,-1.61,6.99,-4.59,2.4,-0.22,-2.02,2.07
formaldehyde,-4.87,6.52,-4.87,1.65,-2.75,-6.39,2.05
halothane,-1.59,14.63,-12.34,2.29,-0.11,-2.08,2.30
hept_1_ene,-0.33,18.25,-14.95,3.3,1.66,-0.62,2.50
hept_1_yne,-0.8,17.36,-14.28,3.08,0.6,-1.22,2.48
heptan_1_ol,-5.09,19.39,-17.02,2.37,-4.21,-6.38,2.54
heptan_2_one,-5.3,19.21,-16.71,2.5,-3.04,-5.78,2.52
heptan_4_one,-5.19,18.67,-16.16,2.51,-2.92,-5.44,2.52
heptanal,-5.06,19.59,-17.16,2.43,-2.67,-5.89,2.52
hex_1_ene,-0.33,16.04,-13.12,2.92,1.58,-0.61,2.42
hex_1_yne,-0.81,15.84,-12.93,2.91,0.29,-1.23,2.40
hexa_15_diene,-0.65,15.45,-12.36,3.09,1.01,-1.16,2.39
hexafluoropropene,-1.17,13.53,-10.07,3.46,-3.76,-1.65,2.31
hexan_1_ol,-5.08,17.51,-15.46,2.05,-4.4,-6.34,2.46
hexan_2_one,-5.28,17.4,-14.89,2.51,-3.28,-5.81,2.45
hexan_3_ol,-4.96,17.25,-14.92,2.33,-4.06,-5.44,2.45
hexanal,-5.09,17.13,-15,2.13,-2.81,-6.02,2.45
hexanoic_acid,-6.93,18.23,-16.38,1.85,-6.21,-11.26,2.47
hydrazine,-8.36,6.5,-5.24,1.26,-9.3,-14.86,2.04
imidazole,-8.49,10.72,-10.08,0.64,-9.63,-10.05,2.19
indane,-2.97,17.16,-15.89,1.27,-1.46,-2.87,2.44
iodobenzene,-2.11,16.35,-14.58,1.77,-1.74,-2.84,2.37
iodoethane,-1.93,12.15,-10.32,1.83,-0.74,-2.63,2.23
iodomethane,-1.9,10.29,-8.36,1.93,-0.89,-2.72,2.14
isoamyl_acetate,-5.44,20.16,-17.77,2.39,-2.21,-6.39,2.55
isoamyl_formate,-5.17,17.78,-16,1.78,-2.13,-6.87,2.45
isobutyl_acetate,-5.23,18.27,-15.84,2.43,-2.36,-5.97,2.48
isobutyl_formate,-5,16.02,-14.23,1.79,-2.22,-6.39,2.40
isobutyl_isobutanoate,-5.29,22.03,-19.29,2.74,-1.69,-5.46,2.61
isobutylbenzene,-2.66,20.03,-17.37,2.66,0.16,-2.50,2.52
isobutyraldehyde,-4.98,13.04,-10.99,2.05,-2.86,-5.83,2.29
isoflurane,-4.21,16.26,-13.43,2.83,0.1,-6.02,2.39
isopropyl_acetate,-5.15,16.47,-14.24,2.23,-2.64,-6.03,2.40
isopropyl_formate,-4.37,14.01,-12.28,1.73,-2.02,-5.83,2.32
m_cresol,-6.94,15.71,-14.05,1.66,-5.49,-8.38,2.38
