solute,dG_es_MD,dG_cav_MD,dG_disp_MD,dG_np_MD,dG_tot_MD,dG_tot_expt,dG_es_SLIC,M_w,SASA_VdW,SESA_VdW,SESV_VdW,VdWA_VdW,VdWV_VdW,SASA_Mob,SESA_Mob,SESV_Mob,VdWA_Mob,VdWV_Mob,SASA_Bondii,SESA_Bondii,SESV_Bondii,VdWA_Bondii,VdWV_Bondii,SASAB,SASVB,SASAM,SASVM,SASAV,SASVV,totAB,totAM,totVM,totVB
1_chlorohexane,-1.23,15.8,-13.34,2.46,1.23,0,-1.66,120.5,329.1,159,133.3,158.8,135.8,346,172.5,157.5,185.7,142.4,348.9,174.8,162.8,180,157.1,348.9,523.2,346,473.4,329.1,466.5,630.481,572.309,295.428,356.79
1_chloropentane,-1.22,14.06,-11.66,2.4,1.18,-0.07,-1.67,106.5,298.7,140.3,115.1,140.2,117.4,314.3,152.4,135.9,163.3,122.9,318,155.5,142.2,159.8,137.5,318,467.4,314.3,420.2,298.7,414.3,537.742,486.552,251.322,304.87
1_chloropropane,-1.25,10.35,-8.18,2.17,0.92,-0.33,-1.55,78.5,235.5,101.9,78.2,101.8,80.2,248.6,111,91.9,116.9,84.1,253.7,115.7,100,117.9,97.7,253.7,352.5,248.6,310.6,235.5,307.1,352.264,315.038,163.11,201.04
1_ethylnaphthalene,-4.61,18.33,-16.72,1.61,-3,-2.4,-4.97,156,360.1,183.4,165.2,183.3,168.1,380.5,198.6,189.8,209.8,176,378.7,200,205.3,205,200.1,378.7,603.9,380.5,543.4,360.1,537.2,858.024,740.729,396.407,512.56
1_iodobutane,-1.83,13.76,-11.35,2.41,0.58,-0.25,-2.62,183.9,286.4,132.7,107.6,132.6,109.8,298.8,142.1,123.6,150.9,112.8,310.1,150.6,137.7,154.2,133.8,310.1,454.1,298.8,398,286.4,393.2,459.83,409.6,215.522,269.17
1_iodoheptane,-1.8,19.86,-16.87,2.99,1.19,0.27,-2.58,225.9,380.9,190.2,162.7,190,165.6,397.2,204,189.5,220.3,171.1,406.2,210.1,200.9,216.7,193.6,406.2,626,397.2,562,380.9,553.7,738.047,666.871,347.84,424.92
1_iodohexane,-1.81,17.34,-14.87,2.47,0.66,0.08,-2.57,211.9,349.6,171.1,144.5,170.9,147,364.5,183.4,167.5,197.2,151.7,374.4,190.4,179.9,196,173.8,374.4,569,364.5,507.5,349.6,500.4,645.308,581.114,303.734,373
1_iodopentane,-1.82,15.74,-13.26,2.48,0.66,-0.14,-2.58,197.9,318.5,152.1,126,152,128.5,332.1,163,145.7,174.4,132.2,342.6,170.7,158.9,175.3,153.9,342.6,512,332.1,453.3,318.5,447.3,552.569,495.357,259.628,321.09
1_iodopropane,-1.87,12.16,-10.29,1.87,0,-0.53,-2.63,169.9,255.2,113.7,89.3,113.6,91.2,266.3,121.6,101.7,127.9,93.4,278.4,130.9,116.7,133.5,114,278.4,397.1,266.3,343.7,255.2,340,367.091,323.843,171.416,217.26
1_methyl_imidazole,-7.06,11.94,-11.21,0.73,-6.33,-8.41,-7.65,82,243.4,106.6,81.7,106.5,83.6,252.9,113.1,91.9,116.4,85.9,262,121.3,106.6,123,104.8,262,368.8,252.9,322,243.4,319.3,412.65,348.918,182.756,240.6
1_methyl_pyrrole,-3.9,11.72,-10.41,1.31,-2.59,-2.89,-4.43,81,252.3,111.7,86.4,111.7,88.4,263.8,119.6,98.1,123.1,91.3,268.8,125.6,111.5,127.3,109.6,268.8,381.5,263.8,336.8,252.3,333.7,442.068,377.891,197.691,257.64
1_methylcyclohexene,-0.66,14.25,-12.26,1.99,1.33,0.67,-0.83,96,291,137.6,116.5,137.5,119,312.1,153.1,140.7,163.6,128.2,304,148.8,140.4,152.4,136.5,304,451.3,312.1,414,291,408.7,606.699,552.386,286.697,345.01
1_methylnaphthalene,-4.52,17.66,-16.38,1.28,-3.24,-2.44,-5.05,142,333.6,166.3,145.4,166.3,148.2,352.3,180,166.7,187.1,155.9,352.8,182.8,183.5,185.9,180,352.8,552,352.3,492.4,333.6,487.3,765.285,654.972,352.301,460.64
1_naphthol,-8.31,17.32,-16.52,0.8,-7.51,-7.67,-10.39,144,322.5,158.9,137.8,158.8,140.3,333.3,167.4,152.4,173.4,143,342.3,175.5,174.1,178.6,170.9,342.3,530.3,333.3,471.5,322.5,466.7,709.722,577.2,314.096,430.04
1_naphthylamine,-8.63,17.59,-16.72,0.87,-7.76,-7.28,-9.68,143,328.1,162.5,140.9,162.4,143.6,335.9,169.2,154.8,175.3,145.3,347.3,178.9,178.4,182.2,174.7,347.3,540.2,335.9,481.2,328.1,476.3,735.867,588.741,318.674,443.6
1_nitrobutane,-2.43,14.96,-14.04,0.92,-1.51,-3.09,-3.15,103,288.6,133.8,107.2,133.7,109.5,301,143.4,124.1,153.3,112.2,306.2,147.5,131.2,151.8,126.5,306.2,442.5,301,400.4,288.6,395.1,508.629,454.522,232.805,285.17
1_nitropentane,-2.4,16.78,-15.67,1.11,-1.29,-2.82,-3.1,117,319.6,152.8,125.7,152.6,128,333.2,163.7,145.9,176.1,131.6,337.7,167,152,172.3,146.2,337.7,499.1,333.2,454.4,319.6,447.7,601.368,540.279,276.911,337.08
1_nitropropane,-2.44,12.61,-11.55,1.06,-1.38,-3.34,-3.19,89,257.4,114.8,88.8,114.7,90.9,268.5,122.9,102.2,130.3,92.8,274.5,127.8,110.1,131.1,106.6,274.5,385.6,268.5,346,257.4,341.9,415.89,368.765,188.699,233.25
11_diacetoxyethane,-9.52,18.02,-16.4,1.62,-7.9,-4.97,-11.4,146,349.9,169.4,141.3,169.3,144.2,370.8,184,161.9,195,146.4,367.2,185.8,174.7,191.9,168.3,367.2,555.9,370.8,504.7,349.9,496.5,662.664,580.611,300.456,378.35
11_dichloroethane,-1.64,10,-8.19,1.81,0.17,-0.84,-2.15,99,230.1,98.6,75.2,98.5,76.9,239.2,104.8,84.6,109.3,78.2,254.5,116.2,101.3,168.8,131.7,254.5,354.8,239.2,300.8,230.1,298,291.098,246.335,132.662,176.01
11_dichloroethene,-0.85,9.62,-7.53,2.09,1.24,0.25,-1.14,97,221.4,92.9,68.4,92.8,70,229.3,98.1,76.1,100.9,71.4,249.4,112.7,96.4,114.4,94.7,249.4,343.9,229.3,283.3,221.4,281.3,248.624,203.446,113.794,157.6
11_diethoxyethane,-4.57,16.84,-14.45,2.39,-2.18,-3.28,-5.69,118,344.8,165.8,135.2,165.6,138.8,367.3,181.7,159.1,192.7,143.1,359.5,179.6,164.5,184.3,158.8,359.5,535.8,367.3,493.2,344.8,484.8,673.26,603.757,305.362,372.53
11_difluoroethane,-2.41,7.35,-4.75,2.6,0.19,-0.11,-2.98,66,199.5,79.5,55.2,79.5,56.8,213.3,88.7,67.5,91.5,62.7,217.4,92.3,72.6,93.4,71.6,217.4,283.6,213.3,246.1,199.5,243.6,259.83,230.759,119.402,146.46
111_trichloroethane,-1.13,12.22,-10.34,1.88,0.75,-0.19,-1.44,133.5,250.4,111.8,90.6,111.7,92.6,259.6,118.3,101.3,125.2,93.2,279.1,132.8,123.5,136.7,119.7,279.1,405.6,259.6,340.2,250.4,336.9,322.671,269.079,149.82,202.89
111_trifluoro_222_trimethoxyethane,-4.57,15.87,-13.56,2.31,-2.26,-0.8,-5.87,174,321.3,157.1,140.8,156.9,143.5,334,166.2,157,178.1,144,342.6,174.7,175.5,181.6,169.1,342.6,531.1,334,473.4,321.3,467.7,665.514,565.938,290.754,378.26
111_trifluoropropan_2_ol,-6.05,11.21,-8.72,2.49,-3.56,-4.16,-8.9,114,247.2,110.1,88.2,110,90,258.5,118.1,101.6,125,93.3,268,125.3,111.9,179.3,141,268,381,258.5,334.9,247.2,330.7,405.684,336.401,177.915,231.8
111_trimethoxyethane,-5.55,14.7,-13.04,1.66,-3.89,-4.42,-6.73,120,306.2,146.8,126.6,146.6,129.2,318.6,155.5,141.5,166,129.1,322.2,160.6,154.4,166,149.3,322.2,486.3,318.6,440.9,306.2,435.7,617.697,538.773,270.486,341.93
1112_tetrachloroethane,-1.43,13.63,-12.09,1.54,0.11,-1.28,-1.75,168,271.4,125.4,106.1,125.2,108.3,276.9,129.4,114,137.8,104.7,304.5,149.7,145.4,154.7,140.7,304.5,457.1,276.9,380.4,271.4,376.6,354.244,279.81,159.162,229.77
112_trichloro_122_trifluoroethane,-0.32,12.68,-10.83,1.85,1.53,1.77,-0.6,187.5,269.9,124.8,106.7,124.7,108.7,279.2,131.6,118.7,140.4,109.6,303.7,149.6,146.5,155,141.6,303.7,457.4,279.2,379.5,269.9,375.5,370.488,296.244,170.088,239.22
112_trichloroethane,-2.01,11.96,-10.45,1.51,-0.5,-1.99,-3.29,133.5,251.4,112.3,90.4,112.2,92.6,256.4,115.8,97.3,160.6,111.2,280.4,133.4,123.3,136.8,119.9,280.4,406.8,256.4,341.3,251.4,338,322.671,257.066,142.004,202.89
1122_tetrachloroethane,-1.88,13.73,-12.26,1.47,-0.41,-2.47,-2.46,168,272.1,125.7,106,125.6,108.2,276.1,128.6,112.2,175,125,305.5,150.1,145.3,154.8,140.8,305.5,458,276.1,381.1,272.1,377.2,354.244,274.12,155.662,229.77
12_diacetoxyethane,-9.93,17.68,-16.07,1.61,-8.32,-6.34,-12.84,146,360.4,172.8,139.2,172.9,142.3,377,186.1,157.8,194.7,143.8,378.9,190.5,173.1,194.8,168.2,378.9,565.9,377,513.3,360.4,504.5,662.664,574.288,296.14,378.35
12_dibromoethane,-1.6,12.26,-10.47,1.79,0.19,-2.33,-1.94,187.8,246.4,108.1,83.7,108.1,85.7,249.9,110.8,89.3,115.3,82.4,274.9,128.5,113.9,130.9,111.6,274.9,390.2,249.9,327.8,246.4,324.9,302.738,246.09,133.894,188.26
12_dichlorobenzene,-1.96,14.76,-13.44,1.32,-0.64,-1.36,-2.5,147,287.9,135.7,113.1,135.7,115.1,298.9,143.6,125.4,148.7,117.5,315.7,157.2,151.2,159.9,148.2,315.7,475.8,298.9,405.7,287.9,401.9,492.158,403.612,224.678,310.05
12_dichloroethane,-2.15,10.31,-8.68,1.63,-0.52,-1.79,-3.22,99,230.2,98.6,74.8,98.6,76.9,236.5,103,82.3,107.2,75.9,254.5,116.2,101.1,118.3,99,254.5,354.7,236.5,300.8,230.2,298.1,291.098,240.012,128.346,176.01
12_dichloropropane,-2.13,11.99,-10.06,1.93,-0.2,-1.27,-3.11,113,255.5,115.1,93.7,115,95.9,265.7,122.3,105.6,130,96.3,279,132.6,122.1,136.1,118.5,279,404,265.7,349.7,255.5,345.9,383.837,328.825,174.474,227.92
12_diethoxyethane,-5.47,16.63,-14.24,2.39,-3.08,-3.54,-6.58,118,353.3,168.6,134.1,168.5,137.4,373.8,183,155.1,192.5,140.7,367.6,182.6,163.4,186.6,158.8,367.6,542.4,373.8,501.2,353.3,491.4,673.26,597.434,301.046,372.53
12_dimethoxyethane,-5.29,12.8,-10.87,1.93,-3.36,-4.84,-7.36,90,283.7,128.1,98.6,128.1,101,293.2,134.9,109.4,140.6,99.8,298.5,141,121.8,143.7,119,298.5,423.5,293.2,384.1,283.7,379.3,487.782,419.808,208.79,268.7
12_ethanediol,-8.71,9.27,-8.18,1.09,-7.62,-9.3,-13.73,62,213,87.8,63.2,87.7,65.1,211.2,87.2,65.4,89.9,60.1,226.7,97.9,78.3,99.6,76.7,226.7,299.6,211.2,269.4,213,266.7,302.304,222.296,113.376,164.87
123_trichlorobenzene,-1.67,16.31,-15.02,1.29,-0.38,-1.24,-2,181.5,308.1,149.2,127.6,149.1,129.9,317.5,156.1,139.6,162.5,130.7,340.1,173.8,172.3,177.5,168.4,340.1,525.6,317.5,444,308.1,440,523.731,421.332,238.659,336.93
123_trimethylbenzene,-2.79,15.64,-13.5,2.14,-0.65,-1.21,-2.93,120,318.8,156.9,135.8,156.8,138.4,339.3,171.9,159.6,180.6,147.6,335.5,171.1,167.9,174.7,163.9,335.5,516.3,339.3,465.8,318.8,460.6,707.229,628.074,330.819,412.03
1234_tetrachlorobenzene,-1.25,17.83,-16.9,0.93,-0.32,-1.34,-1.43,216,328.2,162.6,142.3,162.5,144.7,336.1,168.6,153.8,176.2,144,364.4,190.5,193.5,195,188.6,364.4,575.3,336.1,482.3,328.2,478,555.304,439.052,252.64,363.81
1235_tetrachlorobenzene,-0.92,18.16,-17.26,0.9,-0.02,-1.62,-1.14,216,331.8,163.8,142.4,163.8,144.8,339.1,169.6,153.9,177.2,143.9,370.1,193,194,197.6,189.1,370.1,581.7,339.1,486.2,331.8,481.4,555.304,439.052,252.64,363.81
124_trichlorobenzene,-1.35,16.51,-15.34,1.17,-0.18,-1.12,-1.79,181.5,311.7,150.5,127.7,150.4,130,320.5,157.2,139.7,163.5,130.7,345.8,176.3,172.9,180,168.9,345.8,532,320.5,448,311.7,443.5,523.731,421.332,238.659,336.93
124_trimethylbenzene,-2.75,15.86,-13.47,2.39,-0.36,-0.86,-2.9,120,326.5,160,136.8,159.9,139.6,348.2,175.8,161.4,185,149,342.8,174.4,169.1,178.5,165,342.8,525.3,348.2,474.6,326.5,469.2,707.229,628.074,330.819,412.03
1245_tetrachlorobenzene,-0.97,17.75,-16.53,1.22,0.25,-1.34,-1.19,216,332.1,164,142.4,163.9,144.8,339.3,169.8,153.9,177.3,144,370.5,193.2,194.2,197.8,189.3,370.5,582.3,339.3,486.5,332.1,481.8,555.304,439.052,252.64,363.81
13_dichlorobenzene,-1.6,14.66,-13.05,1.61,0.01,-0.98,-2.24,147,291.3,136.9,113.1,136.8,115.2,301.6,144.5,125.5,149.7,117.4,321,159.4,151.6,162.2,148.7,321,481.7,301.6,409.2,291.3,405.1,492.158,403.612,224.678,310.05
13_dichloropropane,-2.18,11.98,-10.18,1.8,-0.38,-1.89,-2.95,113,257.3,115.8,93.8,115.7,95.9,266.1,122.1,104.7,129.6,95.4,281.4,133.7,122.4,137.3,118.7,281.4,406.9,266.1,351.2,257.3,347.5,383.837,325.769,172.452,227.92
13_dimethylnaphthalene,-4.5,19.58,-17.87,1.71,-2.79,-2.47,-4.84,156,363.5,184.7,163.5,184.6,166.4,384.9,200.6,188.4,209.9,175.5,382.3,201.6,204.4,205.8,199.6,382.3,606.5,384.9,544.7,363.5,538.7,858.024,741.606,397.002,512.56
135_trichlorobenzene,-0.96,16.71,-15.3,1.41,0.45,-0.78,-1.44,181.5,315,151.6,127.7,151.5,130,323.1,158.1,139.7,164.4,130.6,351.1,178.6,173.3,182.3,169.4,351.1,537.8,323.1,451.5,315,446.5,523.731,421.332,238.659,336.93
135_trimethylbenzene,-2.73,16.62,-13.85,2.77,0.04,-0.9,-2.84,120,333.2,162.7,137.1,162.7,140.3,356.1,179.4,162.3,188.9,149.4,349.5,177.4,170.8,181.7,165.8,349.5,533.3,356.1,481.9,333.2,476.5,707.229,628.074,330.819,412.03
14_dichlorobenzene,-1.63,14.6,-13.07,1.53,-0.1,-1.01,-2.31,147,291.3,136.9,113.2,136.8,115.2,301.6,144.5,125.5,149.7,117.3,321.1,159.4,151.6,162.2,148.6,321.1,481.7,301.6,409.3,291.3,405,492.158,403.612,224.678,310.05
14_dichlorobutane,-2.38,14.22,-12.11,2.11,-0.27,-2.32,-3.27,127,288.4,134.6,111.7,134.5,114.1,297.8,142.1,126,151.6,114.5,313.2,153.3,142.8,157.6,138.4,313.2,463.4,297.8,405.4,288.4,400,476.576,411.526,216.558,279.84
14_dimethyl_piperazine,-8.2,16.67,-15.87,0.8,-7.4,-7.58,-6.33,114,310.7,150.3,131.7,150.2,134.4,320.4,157.6,146,169.7,131.9,324.2,162.1,157.3,167.6,151.8,324.2,491.5,320.4,452.9,310.7,446.3,683.076,589.566,297.366,381.24
14_dimethylnaphthalene,-4.5,19.1,-17.89,1.21,-3.29,-2.82,-4.87,156,357.2,181.9,162,181.8,165.2,378.2,197.3,186.6,206.1,174.2,375.9,198.5,203,202.4,198.6,375.9,598.6,378.2,536.8,357.2,531.3,858.024,741.606,397.002,512.56
14_dioxane,-4.71,12.23,-11.87,0.36,-4.35,-5.06,-6.02,88,245.2,108.6,87.5,108.6,89.5,253,114.1,96.4,119.3,88.5,258.8,119.7,106.8,121.9,104.6,258.8,365.6,253,331.6,245.2,327.6,445.308,378.884,191.384,250.29
2_bromo_2_methylpropane,-1.25,12.66,-10.52,2.14,0.89,0.84,-1.81,136.9,263.7,121,102.5,120.9,104.6,279.2,132.2,120.1,143.4,108.8,283.1,135.8,128.1,141.4,123,283.1,415.2,279.2,368.3,263.7,364,450.823,409.946,214.034,259.08
2_bromopropane,-1.16,11.08,-8.95,2.13,0.97,-0.48,-1.71,122.9,241.4,105.9,83,105.8,85.1,254.6,115.1,96.8,121.9,88.4,260.9,120.6,106.8,123.6,103.7,260.9,367.7,254.6,322.3,241.4,318.9,358.084,321.133,167.906,207.16
2_butoxyethanol,-5.94,16.71,-14.84,1.87,-4.07,-6.25,-6.83,118,342.6,165.4,135.3,165.4,138.1,358.7,176.7,154.2,188,139.4,358,178.8,162.4,183.3,156.9,358,532,358.7,490.3,342.6,482.5,673.26,581.379,295.423,372.53
2_chloro_111_trimethoxyethane,-5.4,16.87,-14.77,2.1,-3.3,-4.59,-8.2,154.5,321.4,158.1,144.1,157.9,147,330,164.5,156.4,179.6,140.5,342.9,175.6,177.4,183.4,170.1,342.9,534.1,330,477.2,321.4,471.8,649.27,549.504,279.828,368.81
2_chloro_2_methylpropane,-1.44,11.48,-9.22,2.26,0.82,1.09,-1.86,92.5,257.9,117.2,98.1,117.1,99.8,274.4,129.1,116.3,139.6,105.5,276.2,131.2,121.5,136.4,116.8,276.2,400.8,274.4,356.7,257.9,352.7,445.003,406.907,211.26,252.95
2_chloroaniline,-6.04,14.7,-13.62,1.08,-4.96,-4.91,-7.39,127.5,284.2,133.7,110.4,133.6,112.4,290.5,138.1,119.5,142.7,112.1,307.3,151.7,143.8,154.3,141,307.3,458.8,290.5,398.9,284.2,395,523.906,406.295,221.771,318.04
2_chlorobutane,-1.35,11.77,-9.21,2.56,1.21,0,-1.73,92.5,262.7,119.3,96.6,119.2,98.9,279.1,131,114.8,139.9,104.3,280.6,133.2,120.8,136.9,117.1,280.6,404.4,279.1,361,262.7,356.4,445.003,403.851,209.238,252.95
2_chlorophenol,-4.51,14.46,-13.18,1.28,-3.23,-4.55,-5.85,128.5,277.2,129.3,106.4,129.2,108.3,287.6,136.1,117.1,140.6,109.6,301,147.5,138.9,149.7,136.7,301,446.6,287.6,386.6,277.2,383.1,497.761,394.754,217.193,304.48
2_chloropropane,-1.4,10.06,-7.84,2.22,0.82,-0.25,-1.82,78.5,235.2,101.9,78.6,101.9,80.5,249.6,111.9,93.2,118.2,85,253.6,115.7,100.4,118.4,97.6,253.6,352.8,249.6,310.5,235.2,307.3,352.264,318.094,165.132,201.04
2_chloropyridine,-4.85,13.25,-11.76,1.49,-3.36,-4.39,-5.66,113.5,260.5,117.3,93.2,117.3,95,271.7,125.3,105.2,128.5,99.2,285.2,136.3,124.8,137.9,123.1,285.2,413.6,271.7,353,260.5,350.1,431.167,358.391,196.699,266.12
2_chlorotoluene,-2.18,14.53,-12.86,1.67,-0.51,-1.14,-2.76,126.5,292,138.7,116.2,138.6,118.5,307.3,149.6,132.7,155.9,123.7,314.1,156.4,150.2,159.4,146.9,314.1,473.2,307.3,413.9,292,409.9,553.324,472.526,255.398,335.08
2_ethoxyethanol,-6.41,12.93,-11.29,1.64,-4.77,-6.69,-11.76,90,283.7,128.4,98.5,128.3,101.2,292.5,135.1,110.2,141.2,100.6,297.7,140.4,120.9,143.2,117.8,297.7,421.5,292.5,385.2,283.7,379.6,487.782,409.865,207.211,268.7
2_ethylpyrazine,-6.94,15.22,-13.96,1.26,-5.68,-5.45,-7.71,108,289.3,135,110.4,134.9,112.8,305.9,147,129.3,154.3,119.4,307.9,150.7,140.4,154,137.2,307.9,455.5,305.9,404.1,289.3,399.6,555.654,484.036,256.521,326.03
2_ethylpyridine,-4.96,15.05,-13.3,1.75,-3.21,-4.33,-5.22,107,297.4,139.9,115.5,139.9,117.8,315.5,153.1,135.5,160.9,125.1,314.4,154.8,145.4,158.1,141.9,314.4,467.6,315.5,418.4,297.4,413.6,585.072,513.062,271.525,343.07
2_ethyltoluene,-2.85,16.29,-14.1,2.19,-0.66,-1.04,-2.97,120,320.6,157.8,137.8,157.7,140.2,340.9,172.6,161,182.6,148.8,337.5,172.2,170,176.9,165.4,337.5,520.5,340.9,469.5,320.6,464.2,707.229,627.197,330.224,412.03
2_fluorophenol,-4.89,12.98,-11.33,1.65,-3.24,-5.29,-6.02,112,264.2,120.8,97.3,123,102.1,275.8,128.6,109,132.5,102.1,284.8,136.8,125.6,138.6,123.8,284.8,414.5,275.8,362.3,264.2,358.9,482.127,386.966,210.563,289.7
2_iodophenol,-3.93,15.79,-14.77,1.02,-2.91,-6.2,-5.34,219.9,292.1,138.9,117.1,138.8,119.2,301.3,144.9,126.8,150.1,118.7,319.4,159.8,154.9,162.3,152.4,319.4,484.1,301.3,414.6,292.1,411,512.588,403.559,225.499,320.69
2_iodopropane,-1.97,11.99,-9.73,2.26,0.29,-0.46,-2.8,169.9,250.5,111.8,89.9,111.7,91.9,263,120.6,103.3,127.9,94.5,272.5,128.4,117,131.7,113.7,272.5,391.6,263,339.7,250.5,336.2,367.091,326.899,173.438,217.26
2_isobutylpyrazine,-6.81,18.22,-16.51,1.71,-5.1,-5.04,-7.18,136,330.2,163.2,147.3,163,150.5,348.5,176.9,172.4,191,157.5,348.5,179.1,181.4,185.6,175,348.5,544.3,348.5,491.1,330.2,484.8,741.132,655.55,344.733,429.86
2_methoxy_111_trimethoxyethane,-7.61,18.05,-16.41,1.64,-5.97,-5.73,-10.97,150,355.2,175.6,155.6,175.4,159.3,365.7,183.5,170.4,197.9,152.7,372.4,191.2,188,198.8,180.2,372.4,576.3,365.7,526.8,355.2,519.3,747.612,639.402,320.05,415.16
2_methoxyaniline,-7.69,15.89,-14.73,1.16,-6.53,-6.12,-9.41,123,307,147.3,124.1,147.2,126.5,314.2,152.8,134.7,160.4,124.4,324.6,162.5,155.8,166.5,151.6,324.6,490.5,314.2,438.9,307,434,622.248,496.193,261.993,364.38
2_methoxyethanamine,-7.04,11.2,-9.78,1.42,-5.62,-6.55,-8.78,75,255.1,112.1,84.4,112.1,86.6,256.6,113.7,90,118.1,82.5,270,123.9,104.3,126.1,101.9,270,374.1,256.6,338,255.1,334,421.188,332.593,165.661,230.34
2_methoxyphenol,-6,15.51,-14.25,1.26,-4.74,-5.57,-7.94,124,300.1,142.9,120,142.9,122.3,311.7,151,132.3,158.7,121.9,318.5,158.4,150.9,161.9,147.3,318.5,478.5,311.7,426.7,300.1,422.2,596.103,484.652,257.415,350.82
2_methyl_but_2_ene,-0.56,11.67,-8.73,2.94,2.38,1.31,-0.82,70,261.2,117.5,91,117.5,93.2,281.6,131.7,110.5,137.3,102.2,275.3,129.3,113.7,131.9,111.2,275.3,391.1,281.6,352.4,261.2,348.5,463.695,427.908,219.935,259.58
2_methylbut_2_ene,-0.55,11.25,-8.42,2.83,2.28,1.31,-0.82,70,261.2,117.5,91,117.5,93.2,281.6,131.7,110.5,137.3,102.2,275.3,129.3,113.7,131.9,111.2,275.3,391.1,281.6,352.4,261.2,348.5,463.695,427.908,219.935,259.58
2_methylbuta_13_diene,-1.12,10.49,-7.56,2.93,1.81,0.68,-1.59,68,249.1,110.7,85.7,110.6,87.9,265.2,121.7,101.4,126.9,94.1,267.1,124.4,109.6,127.1,107.1,267.1,377.7,265.2,333.2,249.1,330.3,421.221,377.364,196.105,241.17
2_methylbutan_1_ol,-4.88,13.14,-11.04,2.1,-2.78,-4.42,-5.42,88,276.9,129.1,108.9,128.9,111.2,291.3,139.4,126.7,150.6,114.6,291.7,140.7,130,145.4,125.4,291.7,426.5,291.3,390.1,276.9,385.3,543.345,477.694,243.837,299.3
2_methylbutan_2_ol,-5.17,12.58,-10.37,2.21,-2.96,-4.43,-4.82,88,274.5,128,109.7,127.8,111.9,291.1,139.9,129.2,151.9,116.8,288.8,139.4,130.4,144.9,125.3,288.8,424.2,291.1,388.4,274.5,383.5,543.345,483.806,247.881,299.3
