solute,dG_expt,es_mobley,cav_mobley,disp_mobley,np_mobley,es_SLIC,np_SLIC,SASA,SESV,VdWA,VdWV,tot_area,matched_area,Br1,Br2,Br3,C1,C10,C11,C12,C13,C14,C15,C16,C2,C3,C4,C5,C6,C7,C8,C9,Cl1,Cl2,Cl3,Cl4,Cl5,F1,F2,F3,F4,F5,F6,H1,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H2,H20,H21,H22,H3,H4,H5,H6,H7,H8,H9,I1,I2,N1,N2,O1,O2,O3,O4,O5,O6,P1,S1,S2,Br1_type,Br2_type,Br3_type,C1_type,C10_type,C11_type,C12_type,C13_type,C14_type,C15_type,C16_type,C2_type,C3_type,C4_type,C5_type,C6_type,C7_type,C8_type,C9_type,Cl1_type,Cl2_type,Cl3_type,Cl4_type,Cl5_type,F1_type,F2_type,F3_type,F4_type,F5_type,F6_type,H1_type,H10_type,H11_type,H12_type,H13_type,H14_type,H15_type,H16_type,H17_type,H18_type,H19_type,H2_type,H20_type,H21_type,H22_type,H3_type,H4_type,H5_type,H6_type,H7_type,H8_type,H9_type,I1_type,I2_type,N1_type,N2_type,O1_type,O2_type,O3_type,O4_type,O5_type,O6_type,P1_type,S1_type,S2_type,n_amine,n_amide,n_nitro,n_other,o_carbonyl,o_ester,o_nitro,o_hydroxyl,fluorine,h_hydroxyl,h_amine,h_other,num_acceptor,num_donor
1_iodopentane,-0.14,-1.82,18.22,-15.74,2.48,-2.43,2.45,332.1,145.7,174.4,132.2,168.553,134.468,0,0,0,0.466,0,0,0,0,0,0,0,0.201,0.123,0.107,0.165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333,0.269,0.214,0,0,0,0,0,0,0,0,0.395,0,0,0,0.327,0.285,0.257,0.187,0.184,0.186,0.164,0.825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c-sp3,0,0,0,0,0,0,0,c-sp3,c-sp3,c-sp3,c-sp3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,h,h,h,0,0,0,0,0,0,0,0,h,0,0,0,h,h,h,h,h,h,h,i,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_iodopropane,-0.53,-1.87,14.03,-12.16,1.87,-2.47,2.3,266.3,101.7,127.9,93.4,129.222,110.636,0,0,0,0.41,0,0,0,0,0,0,0,0.167,0.155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.304,0,0,0,0,0,0,0,0,0,0,0.286,0,0,0,0.311,0.263,0.263,0.241,0.237,0,0,0.769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c-sp3,0,0,0,0,0,0,0,c-sp3,c-sp3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,h,0,0,0,0,0,0,0,0,0,0,h,0,0,0,h,h,h,h,h,0,0,i,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_methyl_imidazole,-8.41,-7.06,12.67,-11.94,0.73,-7.55,2.27,252.9,91.9,116.4,85.9,119.48,113.817,0,0,0,0.357,0,0,0,0,0,0,0,0.294,0.287,0.388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0.248,0.324,0.255,0.283,0,0,0,0,0,0.342,0.025,0,0,0,0,0,0,0,0,0,0,0,0,c-sp2,0,0,0,0,0,0,0,c-sp2,c-sp2,c-sp3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,h,0,0,0,0,0,0,0,0,0,0,h,0,0,0,h,h,h,h,0,0,0,0,0,n-sp2,n-sp3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1_methyl_pyrrole,-2.89,-3.9,13.03,-11.72,1.31,-4.13,2.3,263.8,98.1,123.1,91.3,123.767,121.357,0,0,0,0.332,0,0,0,0,0,0,0,0.333,0.264,0.263,0.371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.361,0,0,0,0,0,0,0,0,0,0,0.341,0,0,0,0.212,0.293,0.256,0.315,0.302,0,0,0,0,0.023,0,0,0,0,0,0,0,0,0,0,0,0,0,c-sp2,0,0,0,0,0,0,0,c-sp2,c-sp2,c-sp2,c-sp3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,h,0,0,0,0,0,0,0,0,0,0,h,0,0,0,h,h,h,h,h,0,0,0,0,n-sp3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_methylcyclohexene,0.67,-0.66,16.24,-14.25,1.99,-0.72,2.41,312.1,140.7,163.6,128.2,146.56,128.973,0,0,0,0.218,0,0,0,0,0,0,0,0.065,0.219,0.168,0.222,0.223,0.393,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0.272,0.291,0.274,0,0,0,0,0,0,0,0.23,0,0,0,0.349,0.214,0.222,0.344,0.262,0.357,0.236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c-sp2,0,0,0,0,0,0,0,c-sp2,c-sp3,c-sp3,c-sp3,c-sp3,c-sp3,0,0,0,0,0,0,0,0,0,0,0,0,0,h,h,h,h,0,0,0,0,0,0,0,h,0,0,0,h,h,h,h,h,h,h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_methylnaphthalene,-2.44,-4.52,18.94,-17.66,1.28,-4.58,2.5,352.3,166.7,187.1,155.9,180.51,171.129,0,0,0,0.307,0.079,0.32,0,0,0,0,0,0.307,0.307,0.253,0.213,0.257,0.226,0.092,0.092,0,0,0,0,0,0,0,0,0,0,0,0.36,0.141,0,0,0,0,0,0,0,0,0,0.34,0,0,0,0.304,0.239,0.177,0.263,0.256,0.32,0.297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c-sp2,c-sp2,c-sp3,0,0,0,0,0,c-sp2,c-sp2,c-sp2,c-sp2,c-sp2,c-sp2,c-sp2,c-sp2,0,0,0,0,0,0,0,0,0,0,0,h,h,0,0,0,0,0,0,0,0,0,h,0,0,0,h,h,h,h,h,h,h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_naphthol,-7.67,-8.31,18.12,-17.32,0.8,-10.8,2.46,333.3,152.4,173.4,143,173.341,160.383,0,0,0,0.315,0.103,0,0,0,0,0,0,0.315,0.315,0.259,0.223,0.259,0.276,0.094,0.092,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0.348,0,0,0,0.32,0.245,0.189,0.269,0.308,0.256,0,0,0,0,0,0.305,0,0,0,0,0,0,0,0,0,0,0,c-sp2,c-sp2,0,0,0,0,0,0,c-sp2,c-sp2,c-sp2,c-sp2,c-sp2,c-sp2,c-sp2,c-sp2,0,0,0,0,0,0,0,0,0,0,0,h,0,0,0,0,0,0,0,0,0,0,h,0,0,0,h,h,h,h,h,h,0,0,0,0,0,o-sp3-h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1
1_naphthylamine,-7.28,-8.63,18.46,-17.59,0.87,-10.08,2.46,335.9,154.8,175.3,145.3,176.682,162.291,0,0,0,0.317,0.099,0,0,0,0,0,0,0.317,0.317,0.261,0.221,0.261,0.255,0.095,0.095,0,0,0,0,0,0,0,0,0,0,0,0.372,0,0,0,0,0,0,0,0,0,0,0.351,0,0,0,0.322,0.247,0.18,0.271,0.292,0.268,0.201,0,0,0.266,0,0,0,0,0,0,0,0,0,0,0,0,0,c-sp2,c-sp2,0,0,0,0,0,0,c-sp2,c-sp2,c-sp2,c-sp2,c-sp2,c-sp2,c-sp2,c-sp2,0,0,0,0,0,0,0,0,0,0,0,h,0,0,0,0,0,0,0,0,0,0,h,0,0,0,h,h,h,h,h,h,h,0,0,n-sp3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
1_nitrobutane,-3.09,-2.43,15.88,-14.96,0.92,-2.94,2.38,301,124.1,153.3,112.2,145.309,116.773,0,0,0,0.464,0,0,0,0,0,0,0,0.202,0.116,0.163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.329,0,0,0,0,0,0,0,0,0,0,0.416,0,0,0,0.321,0.281,0.29,0.138,0.172,0.23,0.228,0,0,0.078,0,0.601,0.569,0,0,0,0,0,0,0,0,0,0,c-sp3,0,0,0,0,0,0,0,c-sp3,c-sp3,c-sp3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,h,0,0,0,0,0,0,0,0,0,0,h,0,0,0,h,h,h,h,h,h,h,0,0,n-sp2,0,o-sp2-n,o-sp2-n,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0
1_nitropentane,-2.82,-2.4,17.89,-16.78,1.11,-2.91,2.45,333.2,145.9,176.1,131.6,164.516,124.796,0,0,0,0.492,0,0,0,0,0,0,0,0.21,0.131,0.12,0.169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.359,0.204,0.207,0,0,0,0,0,0,0,0,0.302,0,0,0,0.457,0.256,0.237,0.17,0.189,0.206,0.179,0,0,0.083,0,0.633,0.604,0,0,0,0,0,0,0,0,0,0,c-sp3,0,0,0,0,0,0,0,c-sp3,c-sp3,c-sp3,c-sp3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,h,h,h,0,0,0,0,0,0,0,0,h,0,0,0,h,h,h,h,h,h,h,0,0,n-sp2,0,o-sp2-n,o-sp2-n,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,3,0
1_nitropropane,-3.34,-2.44,13.67,-12.61,1.06,-2.98,2.31,268.5,102.2,130.3,92.8,125.786,105.659,0,0,0,0.446,0,0,0,0,0,0,0,0.182,0.151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.289,0,0,0,0,0,0,0,0,0,0,0.339,0,0,0,0.402,0.246,0.243,0.193,0.256,0,0,0,0,0.074,0,0.55,0.57,0,0,0,0,0,0,0,0,0,0,c-sp3,0,0,0,0,0,0,0,c-sp3,c-sp3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,h,0,0,0,0,0,0,0,0,0,0,h,0,0,0,h,h,h,h,h,0,0,0,0,n-sp2,0,o-sp2-n,o-sp2-n,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0
11_diacetoxyethane,-4.97,-9.52,19.64,-18.02,1.62,-11.27,2.54,370.8,161.9,195,146.4,183.094,141.961,0,0,0,0.129,0,0,0,0,0,0,0,0.081,0.462,0.458,0.409,0.041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.334,0.139,0,0,0,0,0,0,0,0,0,0.328,0,0,0,0.393,0.321,0.289,0.368,0.307,0.404,0.2,0,0,0,0,0.404,0.433,0.121,0.067,0,0,0,0,0,0,0,0,c-sp2,0,0,0,0,0,0,0,c-sp2,c-sp3,c-sp3,c-sp3,c-sp3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,h,h,0,0,0,0,0,0,0,0,0,h,0,0,0,h,h,h,h,h,h,h,0,0,0,0,o-sp2,o-sp2,o-sp3,o-sp3,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,4,0
