,Compound,acetonitrile,benzene,butanol,butylacetate,carbontet,chlorofom,chloroform,cyclohexane,dibuthylether,dichloroethane_ions,diethylether,dimethylformamide_ions,dimethylofrmamide,dimethylsulfoxide,ethanol,hexadecane,hexane,isopropanol,methanol,nitrobenzene,nitromethane,octanol,propanol,propanone,tetrahydrofuran,toluene,water,xylene,12dichloroethane,19decadiene
12,1_chloropentane,-5.33,-5.3,-4.46,,-4.81,,-6.71,-5.63,,-6.02,,-5.03,,-59.894,-4.68,-4.45,-3.19,,-4.98,-4.78,-5.46,-5.02,-4.39,,,-2.68,-0.07,-3.36,,
13,1_chloropropane,-4.85,-3.87,-52.83,,-5.39,-3.68,-5.99,-5.89,,-4.92,,-4.88,,-12.66,-123.805,-2.29,-2.81,,-70.985,-8.16,-4.52,-3.11,-4.61,,,-4.31,-0.33,-4.17,-3.69,
14,1_ethylnaphthalene,-4.68,-7.35,-8.75,,-6.32,,-5.25,-5.31,,-7.23,,,,-2.26,-4.57,-4.1,-5.86,,-4.3,-5.84,,-6.4,-4.47,,,-5.6,-2.4,-5.49,,
15,1_iodobutane,,-6.13,-6.81,,-5.04,,-4.41,-4.42,,-3.19,,,,-4.21,,-2.29,-5.14,,-10.48,-7.86,,-4.44,,,,-5.25,-0.25,-3.01,,
16,1_iodoheptane,,-3.01,-3.49,,-2.75,,-7.59,-5.14,,-2.53,,,,-55.592,,-3.73,-3.77,,-4.34,-5.38,,-4.09,,,,-2.67,0.27,-1.73,,
17,1_iodohexane,,-6.85,-5.02,,-6.49,,-6.67,-3.52,,-7.73,,,,-87.237,,-3.51,-4.68,,,-4.9,,-62.61,,,,-2.18,0.08,-4.2,,
18,1_iodopentane,,-4.45,-4.45,,-4.2,,-5.23,-4.77,,-7.48,,,,-7.63,,-5.51,-6.96,,,-117.352,,-3.69,,,,-7.43,-0.14,-6.83,,
19,1_iodopropane,,-5.76,-5.04,,-2.77,,-3.69,-4.06,,-77.89,,,,-5.31,,-1.43,-2.09,,,-7.26,,-3.99,,,,-4.31,-0.53,-7.25,,
20,1_methyl_imidazole,,-5.86,-4.5,,-5.47,,-7.35,-5.05,,-5.97,,,,-2.87,,-2.79,-1.49,,,-7.15,,-6.09,,,,-6.93,-8.41,-5.61,,
21,1_methyl_pyrrole,,-2.73,-8.02,,-4.49,,-5.28,-4.3,,-7.33,,,,-4.9,,-2.52,-2.9,,,,,-1.26,,,,-7.96,-2.89,-6.32,,
22,1_methylcyclohexene,,-2.58,-65.73,,-6.92,,-7.61,-6.33,,-4.87,,,,-4.06,,-4.08,-5.49,,,,,-4.21,,,,-5.65,0.67,-4.2,,
23,1_methylnaphthalene,,-7.44,-5.15,,-6.58,,-6.37,-7.6,,-5.4,,,,-7.67,,-4.08,-6.25,,,,,-3.75,,,,-7.56,-2.44,-4.87,,
24,1_naphthol,,-4.5,-8.69,,-7.51,,-4.13,-7.17,,-57.08,,,,-4.64,,-4.03,-4.94,,,,,-3.87,,,,-4.62,-7.67,-6.67,,
25,1_naphthylamine,,-7.12,-68.67,-10.94,-7.55,-10.82,-6.98,-8.99,,-52.13,,,,-3.83,,-1.78,-5.53,,,,,-10.34,,,,-5.0,-7.28,-3.7,-11.04,
26,1_nitrobutane,,-6.27,,,-2.63,,-8.59,-1.29,,-6.91,,,,-63.026,,-1.99,-3.65,,,,,-2.82,,,,-6.97,-3.09,-4.08,,
27,1_nitropentane,,-5.83,,,-2.25,,-10.9,-6.02,,-9.1,,,,-76.243,,-1.49,-3.17,,,,,-3.15,,,,-8.7,-2.82,-4.72,,
28,1_nitropropane,,-6.66,,,-6.51,,-6.32,-6.0,,-4.89,,,,-1.48,,-4.54,-4.99,,,,,-4.55,,,,-4.0,-3.34,-5.12,,
29,11_diacetoxyethane,,-4.58,,,-3.52,,-7.89,-5.57,,-4.93,,,,,,-5.35,-6.09,,,,,-5.47,,,,-5.17,-4.97,-3.42,,
30,11_dichloroethane,,-4.05,,,-6.14,,-4.02,-1.53,,-5.53,,,,,,-3.25,-5.22,,,,,-4.06,,,,-5.13,-0.84,-5.29,,
31,11_dichloroethene,,-5.21,,,-7.19,,-3.32,-7.01,,-2.83,,,,,-3.24,-1.29,-4.15,,,,,-1.14,,,,-3.33,0.25,-4.86,,
32,11_diethoxyethane,,-7.6,,,-5.71,,-7.55,-5.04,,-9.59,,,,,,-0.39,-4.64,,,,,-3.63,,,,-5.38,-3.28,-3.69,,
33,11_difluoroethane,,-8.06,,,-6.11,,-7.16,-4.9,,-4.04,,,,,,-2.81,-2.83,,,,,-0.27,,,,-4.91,-0.11,-5.06,,
34,111_trichloroethane,,-6.94,,,-4.43,,-5.84,-1.87,,-6.47,,,,,,-4.27,-3.62,,,,,-7.44,,,,-3.51,-0.19,-5.71,,
35,111_trifluoro_222_trimethoxyethane,,-4.04,,,-6.28,,-7.5,-3.71,,-5.45,,,,,,-2.45,-3.81,,,,,-3.54,,,,-5.12,-0.8,-4.26,,
36,111_trifluoropropan_2_ol,,-7.64,,,-2.48,,-5.83,-4.43,,-59.82,,,,,,-3.76,-2.73,,,,,-7.8,,,,-5.89,-4.16,-5.15,,
37,111_trimethoxyethane,,-6.39,,,-5.71,,-3.03,-5.54,,-10.7,,,,,,-5.13,-2.98,,,,,-4.35,,,,-4.41,-4.42,-4.91,,
38,1112_tetrachloroethane,,-4.02,,,-3.64,,-7.81,-6.62,,-4.0,,,,,,0.45,-5.69,,,,,-5.65,,,,-5.0,-1.28,-2.63,,
39,112_trichloro_122_trifluoroethane,,-5.1,,,-6.99,,-6.68,-5.52,,-7.83,,,,,,-3.8,-4.08,,,,,0.51,,,,-2.71,1.77,-8.69,,
40,112_trichloroethane,,-5.28,,,-3.82,,-4.44,-2.09,,-4.55,,,,,,-5.43,-5.14,,,,,-3.72,,,,-3.81,-1.99,-4.87,,
41,1122_tetrachloroethane,,-3.42,,,-6.07,,-5.48,-5.2,,-67.37,,,,,,-6.19,-6.78,,,,,-7.81,,,,-5.02,-2.47,-6.15,,
42,12_diacetoxyethane,,-5.35,,,-3.64,,-4.45,-3.06,,-10.9,,,,,,-4.89,-3.13,,,,,-6.94,,,,-6.3,-6.34,-6.1,,
43,12_dibromoethane,,-5.21,,,-3.64,,-7.22,-5.54,,-7.39,,,,,,-3.47,-4.84,,,,,-6.6,,,,-6.69,-2.33,,,
44,12_dichlorobenzene,,-8.58,,,-4.73,,-6.4,-4.29,,,,,,,,-4.61,-4.38,,,,,-5.33,,,,,-1.36,,,
45,12_dichloroethane,,-3.68,,,-5.01,-4.69,-5.86,-3.59,-4.16,,-4.45,,,,,-2.69,-9.18,,,,,-3.81,,,,,-1.79,,-4.79,
46,12_dichloropropane,,-5.32,,,-3.4,,-7.51,-5.51,,,,,,,,-4.49,-4.0,,,,,-3.44,,,,,-1.27,,,
47,12_diethoxyethane,,-6.01,,,-6.28,,-7.78,-4.08,,,,,,,,-3.26,-4.1,,,,,-4.96,,,,,-3.54,,,
48,12_dimethoxyethane,,-4.53,,,-4.97,,-6.23,-1.73,,,,,,,,-4.01,-4.34,,,,,-7.06,,,,,-4.84,,,
49,12_ethanediol,,-5.03,,,-3.35,,-4.25,-3.61,,,,,,,,-3.83,-5.01,,,,,-4.53,,,,,-9.3,,,
50,123_trichlorobenzene,,-9.73,,,-6.5,,-7.74,-4.3,,,,,,,,-5.24,-6.05,,,,,-3.4,,,,,-1.24,,,
51,123_trimethylbenzene,,-3.62,,,-3.59,,-4.74,-3.82,,,,,,,,-5.78,-3.12,,,,,-3.89,,,,,-1.21,,,
52,1234_tetrachlorobenzene,,-4.02,,,-5.12,,-5.58,-2.93,,,,,,,,-4.84,-7.77,,,,,-4.36,,,,,-1.34,,,
53,1235_tetrachlorobenzene,,-2.8,,,-5.49,,0.12,-3.78,,,,,,,,-2.37,-5.36,,,,,-5.25,,,,,-1.62,,,
54,124_trichlorobenzene,,-8.81,,,-4.4,,-3.94,-5.89,,,,,,,,-2.68,-5.43,,,,,-8.49,,,,,-1.12,,,
55,124_trimethylbenzene,,-2.99,,,-8.16,,-7.14,-4.17,,,,,,,,-2.03,,,,,,-5.83,,,,,-0.86,,,
56,1245_tetrachlorobenzene,,-9.93,,,-5.03,,-5.37,-2.67,,,,,,,,-6.3,,,,,,-7.61,,,,,-1.34,,,
57,13_dichlorobenzene,,-5.14,,,-4.12,,-3.65,-6.02,,,,,,,,-7.68,,,,,,-6.4,,,,,-0.98,,,
58,13_dichloropropane,,-6.36,,,-3.09,,-6.21,-6.26,,,,,,,,-6.19,,,,,,-3.15,,,,,-1.89,,,
59,13_dimethylnaphthalene,,-6.88,,,-5.26,,-5.45,-4.41,,,,,,,,-2.86,,,,,,-4.06,,,,,-2.47,,,
60,135_trichlorobenzene,,,,,-7.1,,-6.6,-3.61,,,,,,,,-6.16,,,,,,-1.89,,,,,-0.78,,,
61,135_trimethylbenzene,,,,,-7.86,,-4.73,-5.38,,,,,,,,-5.63,,,,,,-4.25,,,,,-0.9,,,
62,14_dichlorobenzene,,,,,-9.13,-6.31,-5.48,-3.56,,,,,-7.75,,,-2.39,,,-5.78,,,-5.7,,,,,-1.01,,,
63,14_dichlorobutane,,,,,-4.81,,-6.7,-2.86,,,,,,,,-2.89,,,,,,-3.06,,,,,-2.32,,,
64,14_dimethyl_piperazine,,,,,-6.12,,-6.61,-7.19,,,,,,,,-2.03,,,,,,-6.01,,,,,-7.58,,,
65,14_dimethylnaphthalene,,,,,-6.1,,-6.24,-2.86,,,,,,,,-5.02,,,,,,-6.35,,,,,-2.82,,,
66,14_dioxane,,,,,,,-5.9,-3.12,,,,,,,,-7.29,,,,,-5.46,-2.54,,,,,-5.06,,,
67,2_bromo_2_methylpropane,,,,,,,-4.68,-4.36,,,,,,,,-4.24,,,,,,-4.36,,,,,0.84,,,
68,2_bromopropane,,,,,,,-3.9,-5.71,,,,,,,,-5.74,,,,,,-4.18,,,,,-0.48,,,
69,2_butoxyethanol,,,,,,,-10.3,-2.63,,,,,,,,-5.26,,,,,,-6.97,,,,,-6.25,,,
70,2_chloro_111_trimethoxyethane,,,,,,,-0.51,-6.29,,,,,,,,-3.27,,,,,,-6.4,,,,,-4.59,,,
71,2_chloro_2_methylpropane,,,,,,,-5.5,-3.77,,,,,,,,-2.21,,,,,,-5.63,,,,,1.09,,,
72,2_chloroaniline,,,,,,,-6.35,-7.14,-7.61,,,,,,,-3.48,,,,,,-4.75,,,,,-4.91,,-8.37,
73,2_chlorobutane,,,,,,,-7.09,-3.5,,,,,,,,-0.67,,,,,,-3.6,,,,,0.0,,,
74,2_chlorophenol,,,,-7.81,,-6.4,-5.98,-5.73,-7.03,,-7.34,,,,,-6.14,,,,,,-7.48,,,,,-4.55,,,
75,2_chloropropane,,,,,,,-6.72,-4.19,,,,,,,,-3.33,,,,,,-2.84,,,,,-0.25,,,
76,2_chloropyridine,,,,,,,-4.48,-7.38,,,,,,,,-2.95,,,,,,-2.45,,,,,-4.39,,,
77,2_chlorotoluene,,,,,,,-7.81,-5.47,,,,,,,,-2.81,,,,,,-5.8,,,,,-1.14,,,
78,2_ethoxyethanol,,,,,,,-4.9,-5.52,,,,,,,,-2.31,,,,,,-4.62,,,,,-6.69,,,
79,2_ethylpyrazine,,,,,,,-7.05,,,,,,,,,-3.12,,,,,,-8.43,,,,,-5.45,,,
80,2_ethylpyridine,,,,,,,-6.45,,,,,,,,,-3.86,,,,,,-3.78,,,,,-4.33,,,
81,2_ethyltoluene,,,,,,,-11.06,,,,,,,,,-4.95,,,,,,1.5,,,,,-1.04,,,
82,2_fluorophenol,,,,,,-6.07,-10.23,,,,,,,,,-1.4,,,,,,-7.62,,,,,-5.29,,,
83,2_iodophenol,,,,-9.99,,-8.88,-7.34,,,,,,,,,-4.88,,,,,,-9.81,,,,,-6.2,,,
84,2_iodopropane,,,,,,,,,,,,,,,,-3.95,,,,,,-2.89,,,,,-0.46,,,
85,2_isobutylpyrazine,,,,,,,,,,,,,,,,-3.51,,,,,,-2.06,,,,,-5.04,,,
86,2_methoxy_111_trimethoxyethane,,,,,,,,,,,,,,,,-2.58,,,,,,-3.78,,,,,-5.73,,,
87,2_methoxyaniline,,,,,,,,,,,,,,,,-1.67,,,,,,-5.28,,,,,-6.12,,,
88,2_methoxyethanamine,,,,,,,,,,,,,,,,-4.69,,,,,,-7.58,,,,,-6.55,,,
89,2_methoxyethanol,,,,,,,,,,,,,,,,-5.61,,,,,,-1.59,,,,,-6.76,,,
90,2_methoxyphenol,,,,,,,,,,,,,,,,-3.93,,,,,,-4.24,,,,,-5.57,,,
91,2_methyl_but_2_ene,,,,,,,,,,,,,,,,-2.76,,,,,,-6.27,,,,,1.31,,,
92,2_methylbut_2_ene,,,,,,,,,,,,,,,,-3.6,,,,,,-4.44,,,,,1.31,,,
93,2_methylbuta_13_diene,,,,,,,,,,,,,,,,-2.48,,,,,,-2.94,,,,,0.68,,,
94,2_methylbutan_1_ol,,,,,,,,,,,,,,,,-5.37,,,,,,-3.51,,,,,-4.42,,,
95,2_methylbutan_2_ol,,,,,,,,,,,,,,,,-4.66,,,,,,-4.81,,,,,-4.43,,,
96,2_methylbutane,,,,,,,,,,,,,,,,-0.99,,,,,,-5.13,,,,,2.38,,,
97,2_methylhexane,,,,,,,,,,,,,,,,-5.52,,,,,,-4.4,,,,,2.93,,,
98,2_methylpent_1_ene,,,,,,,,,,,,,,,,-6.02,,,,,,-5.99,,,,,1.47,,,
99,2_methylpentan_2_ol,,,,,,,,,,,,,,,,-3.82,,,,,,-4.55,,,,,-3.92,,,
100,2_methylpentan_3_ol,,,,,,,,,,,,,,,,-6.25,,,,,,-3.07,,,,,-3.88,,,
101,2_methylpentane,,,,,,,,,,,,,,,,-2.92,,,,,,-3.93,,,,,2.51,,,
102,2_methylpropan_1_ol,,,,,,,,,,,,,,,,-10.32,,,,,,-4.13,,,,,-4.5,,,
103,2_methylpropan_2_ol,,,,,,,,,,,,,,,,-2.48,,,,,,-5.07,,,,,-4.47,,,
104,2_methylpropane,,,,,,,,,,,,,,,,-3.64,,,,,,-5.11,,,,,2.32,,,
105,2_methylpropene,,,,,,,,,,,,,,,,-3.94,,,,,,-3.23,,,,,1.16,,,
106,2_methylpyrazine,,,,,,,,,,,,,,,,-4.39,,,,,,-4.78,,,,,-5.51,,,
107,2_methylpyridine,,-5.82,,,,,,-4.94,,,,,,,,-2.67,,,,,,-5.67,,,,,-4.63,,,
108,2_methyltetrahydrofuran,,,,,,,,,,,,,,,,-3.57,,,,,,-4.89,,,,,-3.3,,,
109,2_methylthiophene,,,,,,,,,,,,,,,,-3.42,,,,,,-6.18,,,,,-1.38,,,
110,2_naphthol,-10.92,-10.48,,-12.35,,-10.48,,-8.5,-12.16,,-10.52,,,,,-5.44,,,-10.14,,,-11.78,,,,,-8.11,,-10.97,
111,2_naphthylamine,,,,-11.17,,-11.14,,-9.12,-10.63,,,,,,,-2.74,,,,,,-10.57,,,,,-7.47,,-11.24,
112,2_nitroaniline,,,,,,,,,,,,,,,,-3.12,,,,,,-1.74,,,,,-7.37,,,
113,2_nitrophenol,,,,,,,,,,,,,,,,-3.66,,,,,,-68.19,,,,,-4.58,,,
114,2_nitropropane,,,,,,,,,,,,,,,,-5.2,,,,,,-12.36,,,,,-3.13,,,
115,2_nitrotoluene,,,,,,,,,,,,,,,,-4.33,,,,,,-3.01,,,,,-3.58,,,
116,2_phenylethanol,,,,,,,,,,,,,,,,-3.55,,,,,,-4.53,,,,,-6.79,,,
117,2_propoxyethanol,,,,,,,,,,,,,,,,-3.89,,,,,,-8.13,,,,,-6.4,,,
118,22_dimethylbutane,,,,,,,,,,,,,,,,-4.68,,,,,,-5.01,,,,,2.51,,,
119,22_dimethylpentane,,,,,,,,,,,,,,,,-2.96,,,,,,-10.59,,,,,2.88,,,
120,22_dimethylpropane,,,,,,,,,,,,,,,,-2.18,,,,,,-0.75,,,,,2.51,,,
121,222_trifluoroethanol,,,,,,,,,,,,,-6.93,,,-1.32,,,-5.72,,,-4.87,,,,,-4.31,,,
122,224_trimethylpentane,,,,,,,,,,,,,,,,-5.64,,,,,,-3.43,,,,,2.89,,,
123,225_trimethylhexane,,,,,,,,,,,,,,,,-5.14,,,,,,-6.71,,,,,2.93,,,
124,23_dimethylbuta_13_diene,,,,,,,,,,,,,,,,-2.58,,,,,,-2.79,,,,,0.4,,,
125,23_dimethylbutane,,,,,,,,,,,,,,,,-6.31,,,,,,-5.87,,,,,2.34,,,
126,23_dimethylnaphthalene,,,,,,,,,,,,,,,,-4.24,,,,,,-6.86,,,,,-2.78,,,
127,23_dimethylpentane,,,,,,,,,,,,,,,,-5.44,,,,,,-123.89,,,,,2.52,,,
128,23_dimethylphenol,,,,,,,,,,,,,,,,-3.29,,,,,,-3.52,,,,,-6.16,,,
129,23_dimethylpyridine,,,,,,,,,,,,,,,,-4.04,,,,,,-3.74,,,,,-4.82,,,
130,234_trimethylpentane,,,,,,,,,,,,,,,,-5.15,,,,,,-5.71,,,,,2.56,,,
131,24_dimethylpentan_3_one,,,,,,,,,,,,,,,,-3.63,,,,,,-6.14,,,,,-2.74,,,
132,24_dimethylpentane,,,,,,,,,,,,,,,,-4.23,,,,,,-2.03,,,,,2.83,,,
133,24_dimethylphenol,,,,,,,,,,,,,,,,-3.05,,,,,,-3.87,,,,,-6.01,,,
134,24_dimethylpyridine,,,,,,,,,,,,,,,,-4.01,,,,,,-5.65,,,,,-4.86,,,
135,25_dimethylphenol,,,,,,,,,,,,,,,,-5.35,,,,,,-2.43,,,,,-5.91,,,
136,25_dimethylpyridine,,,,,,,,,,,,,,,,-6.22,,,,,,-8.69,,,,,-4.72,,,
137,25_dimethyltetrahydrofuran,,,,,,,,,,,,,,,,-3.38,,,,,,-7.26,,,,,-2.92,,,
138,26_dimethylaniline,,,,,,,,,,,,,,,,-5.27,,,,,,-4.16,,,,,-5.21,,,
139,26_dimethylnaphthalene,,,,,,,,,,,,,,,,-2.59,,,,,,-6.13,,,,,-2.63,,,
140,26_dimethylphenol,,,,,,,,,,,,,,,,-3.87,,,,,,-3.93,,,,,-5.26,,,
141,26_dimethylpyridine,,,,,,,,,,,,,,,,-4.93,,,,,,-3.46,,,,,-4.59,,,
142,3_acetylpyridine,,,,,,,,,,,,,,,,-1.68,,,,,,-5.08,,,,,-8.26,,,
143,3_chloroaniline,,,,,,,,,,,,,,,,-1.92,,,,,,-4.55,,,,,-5.82,,,
144,3_chlorophenol,,,,-10.27,,-8.01,,-6.42,-9.82,,-9.48,,,,,-5.91,,,,,,-10.02,,,,,-6.62,,-8.36,
145,3_chloroprop_1_ene,,,,,,,,,,,,,,,,-4.61,,,,,,-54.77,,,,,-0.57,,,
146,3_chloropyridine,,,,,,,,,,,,,,,,-0.72,,,,,,-5.82,,,,,-4.01,,,
147,3_cyanophenol,,,,,,,,,,,,,,,,-2.2,,,,,,-8.82,,,,,-9.65,,,
148,3_cyanopyridine,,,,,,,,,,,,,,,,-2.74,,,,,,-6.63,,,,,-6.75,,,
149,3_ethylphenol,,,,,,,,,,,,,,,,-5.24,,,,,,-4.64,,,,,-6.25,,,
150,3_ethylpyridine,,,,,,,,,,,,,,,,-4.42,,,,,,-2.65,,,,,-4.59,,,
151,3_formylpyridine,,,,,,,,,,,,,,,,-3.94,,,,,,-5.34,,,,,-7.1,,,
152,3_hydroxybenzaldehyde,,,,,,,,,,,,,,,,,,,,,,-6.14,,,,,-9.5,,,
153,3_methoxyaniline,,,,,,,,,,,,,,,,,,,,,,-1.13,,,,,-7.29,,,
154,3_methoxyphenol,,,,,,-8.71,,,,,-10.49,,,,,,,,,,,-4.68,,,,,-7.66,,-8.93,
155,3_methyl_1h_indole,,,,,,,,,,,,,,,,,,,,,,-1.45,,,,,-5.88,,,
156,3_methyl_but_1_ene,,,,,,,,,,,,,,,,,,,,,,-8.2,,,,,1.83,,,
157,3_methylbut_1_ene,,,,,,,,,,,,,,,,,,,,,,-8.22,,,,,1.82,,,
158,3_methylbutan_1_ol,,,,,,,,,,,,,,,,,,,,,,-80.93,,,,,-4.42,,,
159,3_methylbutan_2_one,,,,,,,,,,,,,,,,,,,,,,-1.86,,,,,-3.24,,,
160,3_methylbutanoic_acid,,,,,,,,,,,,,,,,,,,,,,-5.99,,,,,-6.09,,,
161,3_methylheptane,,,,,,,,,,,,,,,,,,,,,,-5.19,,,,,2.97,,,
162,3_methylhexane,,,,,,,,,,,,,,,,,,,,,,-11.77,,,,,2.71,,,
163,3_methylpentane,,,,,,,,,,,,,,,,,,,,,,-4.18,,,,,2.51,,,
164,3_methylpyridine,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.77,,,
165,3_nitroaniline,,,,,,-11.02,,-8.27,,,-10.46,,,,,,,,,,,-10.71,,,,,-8.84,,,
166,3_nitrophenol,,,,-12.92,,-10.3,,-7.56,-11.61,,-12.62,,,,,,,,,,,-12.34,,,,,-9.62,,-10.87,
167,3_nitrotoluene,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.45,,,
168,3_phenylpropanol,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.92,,,
169,33_dimethylbutan_2_one,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.11,,,
170,33_dimethylpentane,,,,,,,,,,,,,,,,,,,,,,,,,,,2.56,,,
171,333_trimethoxypropionitrile,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.4,,,
172,34_dimethylphenol,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.5,,,
173,34_dimethylpyridine,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.22,,,
174,35_dimethylphenol,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.27,,,
175,35_dimethylpyridine,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.84,,,
176,4_acetylpyridine,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.62,,,
177,4_bromophenol,,,,-10.56,,-8.59,,,-10.4,,,,,,,,,,,,,-10.66,,,,,-7.13,,-9.04,
178,4_bromotoluene,,,,,,,,,,,,,,,,,,,,,,-6.16,,,,,-1.39,,,
179,4_chloro_3_methylphenol,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.79,,,
180,4_chloroaniline,,,,,,,,,-8.24,,-8.16,,,,,,,,,,,,,,,,-5.9,,,
181,4_chlorophenol,,,,-10.45,,-8.49,,-6.55,-9.9,,-10.2,,,,,,,,,,,-10.3,,,,,-7.03,,-8.84,
182,4_cyanophenol,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.17,,,
183,4_cyanopyridine,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.02,,,
184,4_ethylphenol,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.13,,,
185,4_ethylpyridine,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.73,,,
186,4_ethyltoluene,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.95,,,
187,4_fluorophenol,,,,-8.85,,,,,,,,,,,,,,,,,,-8.6,,,,,-6.19,,-7.16,
188,4_formylpyridine,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.0,,,
189,4_hydroxybenzaldehyde,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.83,,,
190,4_isopropyltoluene,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.68,,,
191,4_methoxyacetophenone,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.4,,,
192,4_methoxyaniline,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.48,,,
193,4_methyl_1h_imidazole,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.27,,,
194,4_methylacetophenone,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.7,,,
195,4_methylbenzaldehyde,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.27,,,
196,4_methylpentan_2_ol,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.73,,,
197,4_methylpentan_2_one,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.05,,,
198,4_methylpyridine,,-6.16,,,,-7.49,,-5.24,-5.65,,,,,,,,,,,,,-6.59,,,,,-4.93,,,
199,4_n_propylphenol,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.9,,,
200,4_nitroaniline,-13.67,,-12.44,-13.13,,-11.99,,-10.76,-11.28,,-12.29,,,-14.36,-12.93,,,,-13.21,,,-12.16,-12.63,-13.97,,,-10.27,,-12.59,
