Compound,methanol,ethanol,propanol,butanol,dimethylofrmamide,acetonitrile,dimethylsulfoxide,propanone,cyclohexane,diethylether,dibuthylether,octanol,benzene,chlorofom,12dichloroethane,19decadiene,butylacetate,water,nitrobenzene,nitromethane
25_dimethylphenol,,,,,,,,,,,,,,,,,,-5.91,,
25_dimethylpyridine,,,,,,,,,,,,,,,,,,-4.72,,
25_dimethyltetrahydrofuran,,,,,,,,,,,,,,,,,,-2.92,,
26_dimethylaniline,,,,,,,,,,,,,,,,,,-5.21,,
26_dimethylnaphthalene,,,,,,,,,,,,,,,,,,-2.63,,
26_dimethylphenol,,,,,,,,,,,,,,,,,,-5.26,,
26_dimethylpyridine,,,,,,,,,,,,,,,,,,-4.59,,
3_acetylpyridine,,,,,,,,,,,,,,,,,,-8.26,,
3_chloroaniline,,,,,,,,,,,,,,,,,,-5.82,,
3_chlorophenol,,,,,,,,,-6.42,-9.48,-9.82,-10.02,,-8.01,-8.36,,-10.27,-6.62,,
3_chloroprop_1_ene,,,,,,,,,,,,,,,,,,-0.57,,
3_chloropyridine,,,,,,,,,,,,-5.82,,,,,,-4.01,,
3_cyanophenol,,,,,,,,,,,,,,,,,,-9.65,,
3_cyanopyridine,,,,,,,,,,,,,,,,,,-6.75,,
3_ethylphenol,,,,,,,,,,,,,,,,,,-6.25,,
3_ethylpyridine,,,,,,,,,,,,,,,,,,-4.59,,
3_formylpyridine,,,,,,,,,,,,,,,,,,-7.1,,
3_hydroxybenzaldehyde,,,,,,,,,,,,,,,,,,-9.5,,
3_methoxyaniline,,,,,,,,,,,,,,,,,,-7.29,,
3_methoxyphenol,,,,,,,,,,-10.49,,,,-8.71,-8.93,,,-7.66,,
3_methyl_1h_indole,,,,,,,,,,,,,,,,,,-5.88,,
3_methyl_but_1_ene,,,,,,,,,,,,,,,,,,1.83,,
3_methylbut_1_ene,,,,,,,,,,,,,,,,,,1.82,,
3_methylbutan_1_ol,,,,,,,,,,,,,,,,,,-4.42,,
3_methylbutan_2_one,,,,,,,,,,,,,,,,,,-3.24,,
3_methylbutanoic_acid,,,,,,,,,,,,,,,,,,-6.09,,
3_methylheptane,,,,,,,,,,,,,,,,,,2.97,,
3_methylhexane,,,,,,,,,,,,,,,,,,2.71,,
3_methylpentane,,,,,,,,,,,,,,,,,,2.51,,
3_methylpyridine,,,,,,,,,,,,,,,,,,-4.77,,
3_nitroaniline,,,,,,,,,-8.27,-10.46,,-10.71,,-11.02,,,,-8.84,,
3_nitrophenol,,,,,,,,,-7.56,-12.62,-11.61,-12.34,,-10.3,-10.87,,-12.92,-9.62,,
3_nitrotoluene,,,,,,,,,,,,,,,,,,-3.45,,
3_phenylpropanol,,,,,,,,,,,,,,,,,,-6.92,,
33_dimethylbutan_2_one,,,,,,,,,,,,,,,,,,-3.11,,
33_dimethylpentane,,,,,,,,,,,,,,,,,,2.56,,
333_trimethoxypropionitrile,,,,,,,,,,,,,,,,,,-6.4,,
34_dimethylphenol,,,,,,,,,,,,,,,,,,-6.5,,
34_dimethylpyridine,,,,,,,,,,,,,,,,,,-5.22,,
35_dimethylphenol,,,,,,,,,,,,,,,,,,-6.27,,
35_dimethylpyridine,,,,,,,,,,,,,,,,,,-4.84,,
4_acetylpyridine,,,,,,,,,,,,,,,,,,-7.62,,
4_bromophenol,,,,,,,,,,,-10.4,-10.66,,-8.59,-9.04,,-10.56,-7.13,,
4_bromotoluene,,,,,,,,,,,,-6.16,,,,,,-1.39,,
4_chloro_3_methylphenol,,,,,,,,,,,,,,,,,,-6.79,,
4_chloroaniline,,,,,,,,,,-8.16,-8.24,,,,,,,-5.9,,
4_chlorophenol,,,,,,,,,-6.55,-10.2,-9.9,-10.3,,-8.49,-8.84,,-10.45,-7.03,,
4_cyanophenol,,,,,,,,,,,,,,,,,,-10.17,,
4_cyanopyridine,,,,,,,,,,,,,,,,,,-6.02,,
4_ethylphenol,,,,,,,,,,,,,,,,,,-6.13,,
4_ethylpyridine,,,,,,,,,,,,,,,,,,-4.73,,
4_ethyltoluene,,,,,,,,,,,,,,,,,,-0.95,,
4_fluorophenol,,,,,,,,,,,,-8.6,,,-7.16,,-8.85,-6.19,,
4_formylpyridine,,,,,,,,,,,,,,,,,,-7,,
4_hydroxybenzaldehyde,,,,,,,,,,,,,,,,,,-8.83,,
4_isopropyltoluene,,,,,,,,,,,,,,,,,,-0.68,,
4_methoxyacetophenone,,,,,,,,,,,,,,,,,,-4.4,,
4_methoxyaniline,,,,,,,,,,,,,,,,,,-7.48,,
4_methyl_1h_imidazole,,,,,,,,,,,,,,,,,,-10.27,,
4_methylacetophenone,,,,,,,,,,,,,,,,,,-4.7,,
4_methylbenzaldehyde,,,,,,,,,,,,,,,,,,-4.27,,
4_methylpentan_2_ol,,,,,,,,,,,,,,,,,,-3.73,,
4_methylpentan_2_one,,,,,,,,,,,,,,,,,,-3.05,,
4_methylpyridine,,,,,,,,,-5.24,,-5.65,-6.59,-6.16,-7.49,,,,-4.93,,
4_n_propylphenol,,,,,,,,,,,,,,,,,,-5.9,,
4_nitroaniline,-13.21,-12.93,-12.63,-12.44,,-13.67,-14.36,-13.97,-10.76,-12.29,-11.28,-12.16,,-11.99,-12.59,,-13.13,-10.27,,
4_nitrophenol,,,,,,,,,,,,,,,,,,-10.64,,
4_tert_butylphenol,,,,,,,,,,,,,,,,,,-5.91,,
acenaphthene,,,,,,,,,,,,,,,,,,-3.15,,
acetaldehyde,,,,,,,,,,,,,,,,,,-3.5,,
acetic_acid,,,,-6.64,,,,,-2.24,-6.23,-5.37,-6.46,-3.62,-4.69,-4.65,-2.76,-6.15,-6.69,-4.78,
acetonitrile,-4.02,-3.95,,-3.54,-4.63,-4.9,,-3.83,,-3.62,-3.2,-3.42,,-4.42,-4.29,,,-3.88,,
acetophenone,-6.92,,,,-7.63,-7.33,,,-6.28,-6.78,-6.77,-6.73,,-8.37,-7.82,,,-4.58,,
alpha_methylstyrene,,,,,,,,,,,,,,,,,,-1.24,,
aniline,-7.48,-7.19,,,,-7.72,,-7.96,-5.56,-6.36,-6.46,-6.71,-6.85,-7.33,-7.46,,-7.3,-5.49,-7.15,
anisole,-5.62,,,,-6.18,-5.96,,,-5.43,-5.8,,-5.32,,-6.69,,,,-2.45,,
anthracene,-9.59,-10.2,-9.85,-9.79,-11.24,-10.15,-10.56,-10.91,-9.7,-10.67,-10.43,-10.12,-11.13,-11.41,,,-10.94,-3.95,,
azetidine,,,,,,,,,,,,,,,,,,-5.56,,
benzaldehyde,,,,,-7.13,-6.71,,,-5.56,-6.08,-6.1,-6.04,-6.88,-7.08,-7.23,,,-4.02,,
benzamide,-10.09,,,,,,,,-8.38,-10.7,-9.53,-11.87,-10.03,-11.16,,,,-11,,
benzene,-3.76,-3.79,-3.79,-3.38,-4.43,-4.16,-3.95,-4.36,-4.06,-4.19,-4.1,-3.76,-4.54,-4.63,-4.52,,-3.87,-0.86,,
benzonitrile,,,,,,,,,,,,,,,,,,-4.21,,
benzotrifluoride,,,,,,,,,,,,,,,,,,-0.25,,
benzyl_alcohol,-7.54,,,,-8.51,-8.02,,,-5.31,-7.5,-8.66,-8.12,,-7.93,-7.69,,,-6.62,,
benzyl_bromide,,,,,,,,,,,,,,,,,,-2.38,,
benzyl_chloride,,,,,,,,,,,,,,,,,,-1.93,,
biphenyl,-7.87,-8.29,,,-8.93,-9.1,,,-8.21,-8.58,-8.84,-8.18,,-9.01,-9.33,,,-2.66,,
bis_2_chloroethyl__ether,,,,,,,,,,,,,,,,,,-4.23,,
Br,-63.815,-62.094,-61.17,-60.75,-57.839,-59.034,59.894,,,,,-62.61,,,-57.08,,,-66.4,-62.141,-59.512
bromobenzene,,,,,,-5.75,,,,,,-5.53,,-6.4,,,,-1.46,,
bromoethane,,-3.03,,,-3.38,,,,,,,,,,,,,-0.74,,
bromoethane,,,,,,,,,,,,-2.93,,-3.79,-3.6,,,-0.74,,
bromomethane,,,,,,,,,,,,-2.44,,,,,,-0.82,,
bromotrifluoromethane,,,,,,,,,,,,,,,,,,1.79,,
but_1_ene,,,,,,,,,,,,,,,,,,1.38,,
but_1_yne,,,,,,,,,,,,-2.15,,,,,,-0.16,,
buta_13_diene,,,,,,,,,,,,,,,,,,0.61,,
butan_1_ol,-6.21,-6.35,-6.1,-6.12,,-5.22,,,-3.54,-5.55,-4.68,-5.86,-4.56,-5.29,,,-5.16,-4.72,,
butan_2_ol,,,,,,,,,,,,,,,,,,-4.62,,
butanenitrile,,,,,,,,,,,,,,,,,,-3.64,,
butanoic_acid,,,,,,,,,-3.6,-7.18,-6.54,-7.42,-5.04,-5.98,-6.09,-4.43,-7.29,-6.35,-5.84,
butanone,-4.55,-4.31,-4.19,,-4.7,-4.87,-4.39,-4.77,-3.37,-4.16,-3.72,-4.1,-4.53,-5.27,-4.96,,,-3.71,,-4.72
butyraldehyde,,,,,,,,,,,,,,,,,,-3.18,,
chlorobenzene,-5.11,-5.02,,,-5.54,-5.15,,-5.51,,,,,,,,,,-1.12,,
chlorobenzene,,,,,,,,,,,,-5.06,,-5.75,,,,-1.12,,
chlorodifluoromethane,,,,,,,,,,,,,,,,,,-0.5,,
chloroethane,,,,,-2.74,,,,,,,-2.58,,,,,,-0.63,,
chloroethylene,,,,,,,,,,,,-2.66,,,,,,-0.59,,
chlorofluoromethane,,,,,,,,,,,,,,,,,,-0.77,,
chloromethane,,,,,-2.36,,,,,,,-1.79,,-2.48,,,,-0.55,,
cis_12_dimethylcyclohexane,,,,,,,,,,,,,,,,,,1.58,,
Cl,-69.551,-67.83,-66.61,-65.73,-61.185,-62.62,63.026,,,,,-68.19,,,-59.82,,,-72.7,-65.727,-63.647
Cs,-70.985,-69.551,-68.93,-68.67,-75.765,-71.702,76.243,,,,,,,,-67.37,,,-73.1,-69.551,-71.797
cyanobenzene,,,,,,,,,,,,,,,,,,-4.1,,
cyclohepta_135_triene,,,,,,,,,,,,,,,,,,-0.99,,
cycloheptanol,,,,,,,,,,,,,,,,,,-5.48,,
cyclohexane,-3.16,-3.47,-3.47,-3.5,-3.15,-2.86,-2.26,-3.39,-4.41,-4.18,-4.1,-3.46,-4.05,-4.45,-3.8,,-3.9,1.23,,
cyclohexanol,,,,,,,,,,,,,,,,,,-5.46,,
cyclohexanone,,,,,,,,,,,,,,,,,,-4.91,,
cyclohexene,,,,,,,,,,,,,,,,,,0.37,,
cyclohexylamine,,,,,,,,,,,,,,,,,,-4.59,,
cyclopentane,,,,,,,,,,,,,,,,,,1.2,,
cyclopentanol,,,,,,,,,,,,,,,,,,-5.49,,
cyclopentanone,,,,,,,,,,,,,,,,,,-4.7,,
cyclopentene,,,,,,,,,,,,,,,,,,0.56,,
cyclopropane,,,,,,,,,,,,,,,,,,0.75,,
decan_1_ol,,,,,,,,,,,,,,,,,,-3.64,,
decan_2_one,,,,,,,,,,,,,,,,,,-2.34,,
di_isopropyl_sulfide,,,,,,,,,,,,,,,,,,-1.21,,
di_n_butyl_ether,,,,,,,,,,,,,,,,,,-0.83,,
di_n_butylamine,,,,,,,,,,,,,,,,,,-3.24,,
di_n_propyl_ether,,,,,,,,,,,,,,,,,,-1.16,,
di_n_propyl_sulfide,,,,,,,,,,,,,,,,,,-1.28,,
di_n_propylamine,,,,,,,,,,,,,,,,,,-3.65,,
dibromomethane,,,,,,,,,,,,,,,,,,-1.96,,
dichloromethane,-3.42,,,-3.39,,-3.95,-4.21,-4.24,,-3.87,-3.2,-3.01,,-4.03,-3.72,,,-1.31,,
diethoxymethoxybenzene,,,,,,,,,,,,,,,,,,-5.23,,
diethyl_disulfide,,,,,,,,,-5.73,,,-5.45,,,,,,-1.64,,
diethyl_ether,-3.1,,,-2.91,,,,,-2.49,-2.95,-3.14,-2.8,,-4.15,-3.31,,,-1.59,,
diethyl_malonate,,,,,,,,,,,,,,,,,,-6,,
diethyl_succinate,,,,,,,,,,,,,,,,,,-5.71,,
diethyl_sulfide,,,,,,,,,-3.81,,,-3.55,,,,,,-1.46,,
diethylamine,-5.09,,-5.62,-5.64,,,,,-3.61,,,,,,,,,-4.07,,
diiodomethane,,,,,,,,,,,,,,,,,,-2.49,,
diisopropyl_ether,,,,,,,,,,,,,,,,,,-0.53,,
diisopropylamine,,,,,,,,,,,,,,,,,,-3.22,,
dimethoxymethane,,,,,,,,,,,,,,,,,,-2.93,,
dimethyl_disulfide,,,,,,,,,,,,-4.24,,,,,,-1.83,,
dimethyl_ether,,,,,,,,,,,,,,,,,,-1.91,,
dimethyl_sulfate,,,,,,,,,,,,,,,,,,-5.1,,
dimethyl_sulfide,,,,,,,,,,,,,,,,,,-1.61,,
dimethyl_sulfone,,,,,,,,,,,,,,,,,,-10.08,,
dimethyl_sulfoxide,,,,,,,,,,,,,,,,,,-8.71,,
dimethylamine,-3.5,-3.27,-2.98,,-2.87,,,,,-2.63,,-2.72,-3.01,-3.69,,,,-4.29,,
E_12_dichloroethene,,,,,,,,,,,,,,,,,,-0.78,,
E_but_2_enal,,,,,,,,,,,,,,,,,,-4.22,,
E_hept_2_ene,,,,,,,,,,,,,,,,,,1.68,,
E_hex_2_enal,,,,,,,,,,,,,,,,,,-3.68,,
E_oct_2_enal,,,,,,,,,,,,,,,,,,-3.43,,
ethanamide,,,,,,,,,,,,,,,,,,-9.71,,
ethane,-0.52,-0.59,-0.61,-0.58,-0.3,,,,-0.97,-1.15,,-0.63,,,,,,1.83,,
ethanethiol,,,,,,,,,,,,,,,,,,-1.14,,
ethanol,-5.27,-5.08,-4.78,-5.46,-5.18,-4.31,-5.31,-4.37,-2.43,-4.23,-3.26,-4.58,-2.8,-3.82,-3.64,,-3.64,-5,,-4.16
ethene,,,,,,,,,,,,,,,,,,1.28,,
ethyl_acetate,,,,-3.83,-4.26,-4.47,-3.83,,-3.4,-4.2,,-3.93,-4.31,-5.39,-4.76,,,-2.94,,
ethyl_benzoate,,,,,,,,,,,-7.86,-7.24,,,-7.86,,,-3.64,,
ethyl_butanoate,,,,,,,,,,,,,,,,,,-2.49,,
ethyl_formate,,,,,,,,,,,,,,,,,,-2.56,,
ethyl_hexanoate,,,,,,,,,,,,,,,,,,-2.23,,
ethyl_pentanoate,,,,,,,,,,,,,,,,,,-2.49,,
ethyl_phenyl_ether,,,,,,,,,,,,,,,,,,-2.22,,
ethyl_propanoate,,,,,,,,,,,,,,,,,,-2.68,,
ethylamine,,,,,,,,,-2.05,-2.89,,-4.09,-2.73,-4.02,-3.08,,,-4.5,,
ethylbenzene,,,,,,,,,,,,,,,,,,-0.79,,
fluorene,,,,,,,,,,,,,,,,,,-3.35,,
fluorobenzene,,,,,,,,,,,-5.46,-3.89,,-4.26,,,,-0.8,,
fluoromethane,,,,,,,,,,,,,,,,,,-0.22,,
formaldehyde,,,,,,,,,,,,,,,,,,-2.75,,
halothane,,,,,,,,,,,,,,,,,,-0.11,,
hept_1_ene,,,,,,,,,,,,,,,,,,1.66,,
hept_1_yne,,,,,,,,,,,,,,,,,,0.6,,
heptan_1_ol,,,,,,,,,,,,,,,,,,-4.21,,
heptan_2_one,,,,,,,,,,,,,,,,,,-3.04,,
heptan_4_one,,,,,,,,,,,,,,,,,,-2.92,,
heptanal,,,,,,,,,,,,,,,,,,-2.67,,
hex_1_ene,,,,,,,,,,,,,,,,,,1.58,,
hex_1_yne,,,,,,,,,,,,-3.43,,,,,,0.29,,
hexa_15_diene,,,,,,,,,,,,,,,,,,1.01,,
hexafluoropropene,,,,,,,,,,,,,,,,,,-3.76,,
hexan_1_ol,,,,,,,,,,,,,,,,,,-4.4,,
hexan_2_one,,,,,,,,,,,,,,,,,,-3.28,,
hexan_3_ol,,,,,,,,,,,,,,,,,,-4.06,,
hexanal,,,,,,,,,,,,,,,,,,-2.81,,
hexanoic_acid,,,,,,,,,,,,,,,,,,-6.21,-7.26,
hydrazine,,,,,,,,,,,,,,,,,,-9.3,,
hydrogen_sulfide,,,,,,,,,,-1.99,,,,-0.51,,,,-0.7,,
hydrogen_sulfide,,,,,,,,,,,,,,,,,,-0.7,,
I,-56.405,-54.995,-53.51,-52.83,-53.298,-54.015,55.592,,,,,-54.77,,,-52.13,,,-58.1,-63.576,-53.561
imidazole,,,,,,,,,-4.58,,,,,-8.5,,,,-9.63,,
indane,,,,,,,,,,,,,,,,,,-1.46,,
iodobenzene,-6.15,,,,-6.76,,,,,-6.64,,-6.17,,-6.6,,,,-1.74,,
iodoethane,-3.59,-3.53,-3.49,,-3.92,,,,,,,,,,,,,-0.74,,
iodoethane,,,,,,,,,,-3.76,,-3.46,,,-4.2,,,-0.74,,
iodomethane,-3.2,-2.99,,,-3.49,,,,,,,-2.95,,-3.79,-3.61,,,-0.89,,
isoamyl_acetate,,,,,,,,,,,,,,,,,,-2.21,,
isoamyl_formate,,,,,,,,,,,,,,,,,,-2.13,,
isobutyl_acetate,,,,,,,,,,,,,,,,,,-2.36,,
isobutyl_formate,,,,,,,,,,,,,,,,,,-2.22,,
isobutyl_isobutanoate,,,,,,,,,,,,,,,,,,-1.69,,
isobutylbenzene,,,,,,,,,,,,,,,,,,0.16,,
isobutyraldehyde,,,,,,,,,,,,,,,,,,-2.86,,
isoflurane,,,,,,,,,,,,,,,,,,0.1,,
isopropyl_acetate,,,,,,,,,,,,,,,,,,-2.64,,
isopropyl_formate,,,,,,,,,,,,,,,,,,-2.02,,
isopropylbenzene,,,,,,,,,,,,,,,,,,-0.3,,
K,-81.74,-80.21,-79.86,-79.37,-86.52,-79.828,-87.237,,,,,-80.93,,,-77.89,,,-84.1,-78.633,-80.449
Li,-125.478,-123.805,-123.7,,-128.824,-120.459,-130.2,,,,,-123.89,,,-119.96,,,-126.4,-117.352,-114.962
m_bis_trifluoromethyl__benzene,,,,,,,,,,,,,,,,,,1.07,,
m_cresol,-6.6,,,,,,,,-5.2,-7.95,,-8.17,-6.66,-6.69,-6.91,,,-5.49,-7.29,
